fold,best_threshold,acc,precision_macro,recall_macro,f1_macro,precision,recall,f1,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1
1,0.675,0.5454545454545454,0.7222222222222222,0.6428571428571428,0.5299145299145299,1.0,0.2857142857142857,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.2857142857142857,0.4444444444444444
2,0.525,0.5454545454545454,0.7222222222222222,0.6428571428571428,0.5299145299145299,1.0,0.2857142857142857,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.2857142857142857,0.4444444444444444
3,0.775,0.36363636363636365,0.41666666666666663,0.4464285714285714,0.3418803418803419,0.5,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.75,0.46153846153846156,0.5,0.14285714285714285,0.2222222222222222
4,0.65,0.36363636363636365,0.35,0.3392857142857143,0.3418803418803419,0.5,0.42857142857142855,0.46153846153846156,0.2,0.25,0.2222222222222222,0.5,0.42857142857142855,0.46153846153846156
5,0.9,0.5454545454545454,0.7222222222222222,0.6428571428571428,0.5299145299145299,1.0,0.2857142857142857,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.2857142857142857,0.4444444444444444
6,0.45000000000000007,0.5454545454545454,0.5892857142857143,0.5892857142857143,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454
7,0.75,0.45454545454545453,0.22727272727272727,0.5,0.3125,0.0,0.0,0.0,0.45454545454545453,1.0,0.625,0.0,0.0,0.0
8,0.35,0.36363636363636365,0.35416666666666663,0.3833333333333333,0.3418803418803419,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.375,0.6,0.46153846153846156,0.3333333333333333,0.16666666666666666,0.2222222222222222
9,0.875,0.5,0.7222222222222222,0.5833333333333334,0.45054945054945056,1.0,0.16666666666666666,0.2857142857142857,0.4444444444444444,1.0,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
10,0.625,0.3,0.30000000000000004,0.29166666666666663,0.29292929292929293,0.4,0.3333333333333333,0.36363636363636365,0.2,0.25,0.2222222222222222,0.4,0.3333333333333333,0.36363636363636365
11,0.875,0.36363636363636365,0.18181818181818182,0.5,0.26666666666666666,0.0,0.0,0.0,0.36363636363636365,1.0,0.5333333333333333,0.0,0.0,0.0
12,0.525,0.2727272727272727,0.2833333333333333,0.26785714285714285,0.26666666666666666,0.4,0.2857142857142857,0.3333333333333333,0.16666666666666666,0.25,0.2,0.4,0.2857142857142857,0.3333333333333333
13,0.675,0.6363636363636364,0.75,0.7142857142857143,0.6333333333333333,1.0,0.42857142857142855,0.6,0.5,1.0,0.6666666666666666,1.0,0.42857142857142855,0.6
14,0.725,0.5454545454545454,0.7222222222222222,0.6428571428571428,0.5299145299145299,1.0,0.2857142857142857,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.2857142857142857,0.4444444444444444
15,0.65,0.5454545454545454,0.5892857142857143,0.5892857142857143,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454
16,0.65,0.2727272727272727,0.15,0.375,0.21428571428571427,0.0,0.0,0.0,0.3,0.75,0.42857142857142855,0.0,0.0,0.0
17,0.525,0.45454545454545453,0.45,0.45,0.45,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5
18,0.475,0.5454545454545454,0.5357142857142857,0.5333333333333333,0.5299145299145299,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5,0.4,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.6153846153846154
19,0.8,0.5,0.7222222222222222,0.5833333333333334,0.45054945054945056,1.0,0.16666666666666666,0.2857142857142857,0.4444444444444444,1.0,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
20,0.6,0.5,0.7222222222222222,0.5833333333333334,0.45054945054945056,1.0,0.16666666666666666,0.2857142857142857,0.4444444444444444,1.0,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
21,0.45000000000000007,0.5454545454545454,0.47916666666666663,0.48214285714285715,0.47619047619047616,0.625,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.25,0.2857142857142857,0.625,0.7142857142857143,0.6666666666666666
22,0.45000000000000007,0.36363636363636365,0.18181818181818182,0.5,0.26666666666666666,0.0,0.0,0.0,0.36363636363636365,1.0,0.5333333333333333,0.0,0.0,0.0
