fold,best_threshold,acc,balanced_acc,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1
1,0.35,0.5454545454545454,0.42857142857142855,0.6,0.8571428571428571,0.7058823529411765,0.3,0.42857142857142855,0.35294117647058826,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411765
2,0.375,0.5454545454545454,0.42857142857142855,0.6,0.8571428571428571,0.7058823529411765,0.3,0.42857142857142855,0.35294117647058826,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411765
3,0.35,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
4,0.375,0.45454545454545453,0.35714285714285715,0.5555555555555556,0.7142857142857143,0.625,0.2777777777777778,0.35714285714285715,0.3125,0.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.625
5,0.375,0.7272727272727273,0.625,0.7,1.0,0.8235294117647058,0.85,0.625,0.611764705882353,1.0,0.25,0.4,0.7,1.0,0.8235294117647058
6,0.375,0.36363636363636365,0.3392857142857143,0.5,0.42857142857142855,0.46153846153846156,0.35,0.3392857142857143,0.3418803418803419,0.2,0.25,0.2222222222222222,0.5,0.42857142857142855,0.46153846153846156
7,0.35,0.6363636363636364,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.1,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
9,0.375,0.7,0.75,1.0,0.5,0.6666666666666666,0.7857142857142857,0.75,0.696969696969697,0.5714285714285714,1.0,0.7272727272727273,1.0,0.5,0.6666666666666666
10,0.375,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
11,0.375,0.6363636363636364,0.5535714285714286,0.6666666666666666,0.8571428571428571,0.75,0.5833333333333333,0.5535714285714286,0.5416666666666666,0.5,0.25,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.75
