fold,best_threshold,acc,balanced_acc,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1
1,0.30000000000000004,0.45454545454545453,0.4107142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.25,0.25,0.25,0.5714285714285714,0.5714285714285714,0.5714285714285714
2,0.30000000000000004,0.36363636363636365,0.3392857142857143,0.5,0.42857142857142855,0.46153846153846156,0.35,0.3392857142857143,0.3418803418803419,0.2,0.25,0.2222222222222222,0.5,0.42857142857142855,0.46153846153846156
3,0.30000000000000004,0.36363636363636365,0.39285714285714285,0.5,0.2857142857142857,0.36363636363636365,0.39285714285714285,0.39285714285714285,0.36363636363636365,0.2857142857142857,0.5,0.36363636363636365,0.5,0.2857142857142857,0.36363636363636365
4,0.275,0.5454545454545454,0.48214285714285715,0.625,0.7142857142857143,0.6666666666666666,0.47916666666666663,0.48214285714285715,0.47619047619047616,0.3333333333333333,0.25,0.2857142857142857,0.625,0.7142857142857143,0.6666666666666666
5,0.30000000000000004,0.45454545454545453,0.5178571428571428,0.6666666666666666,0.2857142857142857,0.4,0.5208333333333333,0.5178571428571428,0.45,0.375,0.75,0.5,0.6666666666666666,0.2857142857142857,0.4
6,0.275,0.5454545454545454,0.5357142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.5333333333333333,0.5357142857142857,0.5299145299145299,0.4,0.5,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.6153846153846154
7,0.30000000000000004,0.2727272727272727,0.3,0.0,0.0,0.0,0.16666666666666666,0.3,0.21428571428571427,0.3333333333333333,0.6,0.42857142857142855,0.0,0.0,0.0
8,0.1,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
9,0.275,0.7,0.75,1.0,0.5,0.6666666666666666,0.7857142857142857,0.75,0.696969696969697,0.5714285714285714,1.0,0.7272727272727273,1.0,0.5,0.6666666666666666
10,0.275,0.5,0.4583333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.45238095238095233,0.4583333333333333,0.45054945054945056,0.3333333333333333,0.25,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.6153846153846154
11,0.30000000000000004,0.6363636363636364,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.5,0.5,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143
12,0.30000000000000004,0.36363636363636365,0.4464285714285714,0.5,0.14285714285714285,0.2222222222222222,0.41666666666666663,0.4464285714285714,0.3418803418803419,0.3333333333333333,0.75,0.46153846153846156,0.5,0.14285714285714285,0.2222222222222222
13,0.30000000000000004,0.45454545454545453,0.35714285714285715,0.5555555555555556,0.7142857142857143,0.625,0.2777777777777778,0.35714285714285715,0.3125,0.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.625
14,0.30000000000000004,0.2727272727272727,0.26785714285714285,0.4,0.2857142857142857,0.3333333333333333,0.2833333333333333,0.26785714285714285,0.26666666666666666,0.16666666666666666,0.25,0.2,0.4,0.2857142857142857,0.3333333333333333
15,0.225,0.8181818181818182,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.75,0.75,0.75,0.8571428571428571,0.8571428571428571,0.8571428571428571
16,0.30000000000000004,0.36363636363636365,0.39285714285714285,0.5,0.2857142857142857,0.36363636363636365,0.39285714285714285,0.39285714285714285,0.36363636363636365,0.2857142857142857,0.5,0.36363636363636365,0.5,0.2857142857142857,0.36363636363636365
17,0.225,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
18,0.25,0.7272727272727273,0.7166666666666667,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7321428571428572,0.7166666666666667,0.717948717948718,0.75,0.6,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693
19,0.275,0.3,0.375,0.0,0.0,0.0,0.16666666666666666,0.375,0.23076923076923078,0.3333333333333333,0.75,0.46153846153846156,0.0,0.0,0.0
20,0.25,0.7,0.7083333333333333,0.8,0.6666666666666666,0.7272727272727273,0.7,0.7083333333333333,0.696969696969697,0.6,0.75,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727273
21,0.275,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
22,0.30000000000000004,0.45454545454545453,0.5178571428571428,0.6666666666666666,0.2857142857142857,0.4,0.5208333333333333,0.5178571428571428,0.45,0.375,0.75,0.5,0.6666666666666666,0.2857142857142857,0.4
23,0.275,0.6363636363636364,0.5535714285714286,0.6666666666666666,0.8571428571428571,0.75,0.5833333333333333,0.5535714285714286,0.5416666666666666,0.5,0.25,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.75
24,0.30000000000000004,0.5454545454545454,0.6428571428571428,1.0,0.2857142857142857,0.4444444444444444,0.7222222222222222,0.6428571428571428,0.5299145299145299,0.4444444444444444,1.0,0.6153846153846154,1.0,0.2857142857142857,0.4444444444444444
25,0.225,0.36363636363636365,0.3392857142857143,0.5,0.42857142857142855,0.46153846153846156,0.35,0.3392857142857143,0.3418803418803419,0.2,0.25,0.2222222222222222,0.5,0.42857142857142855,0.46153846153846156
26,0.275,0.7272727272727273,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,0.7857142857142857,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273,1.0,0.5714285714285714,0.7272727272727273
27,0.275,0.36363636363636365,0.35,0.42857142857142855,0.5,0.46153846153846156,0.3392857142857143,0.35,0.3418803418803419,0.25,0.2,0.2222222222222222,0.42857142857142855,0.5,0.46153846153846156
28,0.275,0.6363636363636364,0.6166666666666667,0.625,0.8333333333333334,0.7142857142857143,0.6458333333333333,0.6166666666666667,0.6071428571428572,0.6666666666666666,0.4,0.5,0.625,0.8333333333333334,0.7142857142857143
29,0.275,0.4,0.4583333333333333,0.5,0.16666666666666666,0.25,0.4375,0.4583333333333333,0.375,0.375,0.75,0.5,0.5,0.16666666666666666,0.25
30,0.30000000000000004,0.5,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.7222222222222222,0.5833333333333334,0.45054945054945056,0.4444444444444444,1.0,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857
31,0.25,0.7272727272727273,0.6785714285714286,0.75,0.8571428571428571,0.8,0.7083333333333333,0.6785714285714286,0.6857142857142857,0.6666666666666666,0.5,0.5714285714285714,0.75,0.8571428571428571,0.8
32,0.275,0.5454545454545454,0.48214285714285715,0.625,0.7142857142857143,0.6666666666666666,0.47916666666666663,0.48214285714285715,0.47619047619047616,0.3333333333333333,0.25,0.2857142857142857,0.625,0.7142857142857143,0.6666666666666666
33,0.30000000000000004,0.36363636363636365,0.5,0.0,0.0,0.0,0.18181818181818182,0.5,0.26666666666666666,0.36363636363636365,1.0,0.5333333333333333,0.0,0.0,0.0
34,0.325,0.6363636363636364,0.7142857142857143,1.0,0.42857142857142855,0.6,0.75,0.7142857142857143,0.6333333333333333,0.5,1.0,0.6666666666666666,1.0,0.42857142857142855,0.6
35,0.30000000000000004,0.36363636363636365,0.4464285714285714,0.5,0.14285714285714285,0.2222222222222222,0.41666666666666663,0.4464285714285714,0.3418803418803419,0.3333333333333333,0.75,0.46153846153846156,0.5,0.14285714285714285,0.2222222222222222
36,0.30000000000000004,0.5454545454545454,0.5892857142857143,0.75,0.42857142857142855,0.5454545454545454,0.5892857142857143,0.5892857142857143,0.5454545454545454,0.42857142857142855,0.75,0.5454545454545454,0.75,0.42857142857142855,0.5454545454545454
37,0.275,0.36363636363636365,0.3666666666666667,0.4,0.3333333333333333,0.36363636363636365,0.3666666666666667,0.3666666666666667,0.36363636363636365,0.3333333333333333,0.4,0.36363636363636365,0.4,0.3333333333333333,0.36363636363636365
38,0.275,0.5454545454545454,0.5333333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5357142857142857,0.5333333333333333,0.5299145299145299,0.5,0.4,0.4444444444444444,0.5714285714285714,0.6666666666666666,0.6153846153846154
39,0.275,0.7,0.7083333333333333,0.8,0.6666666666666666,0.7272727272727273,0.7,0.7083333333333333,0.696969696969697,0.6,0.75,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727273
40,0.275,0.5,0.5,0.6,0.5,0.5454545454545454,0.5,0.5,0.4949494949494949,0.4,0.5,0.4444444444444444,0.6,0.5,0.5454545454545454
