fold,mode,thr,acc,precision,recall,f1
1,avg,0.42000000000000004,0.5555555555555556,0.5333333333333333,0.8888888888888888,0.6666666666666666
1,stack_lr,0.62,0.4444444444444444,0.47058823529411764,0.8888888888888888,0.6153846153846154
2,avg,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
2,stack_lr,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
3,avg,0.4,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724
3,stack_lr,0.4,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724
4,avg,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
4,stack_lr,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
5,avg,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
5,stack_lr,0.4,0.6666666666666666,0.6666666666666666,1.0,0.8
6,avg,0.4,0.5,0.5294117647058824,0.9,0.6666666666666666
6,stack_lr,0.4,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
