MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/05/13 15:46:06.141),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
3,05_Yale,0,0.00000,3422709868539,0.28594,0.09950,0.00000,0.00000,1,1,0.28505,0.11928,1,0.37552,0.07963,0, ,0,,0.31240,0.32429,33.58934,1.04170,1,0.64489,0.33751,38.43054,1.03769,1,0,0.00000,31,6.11211,1,6.22417,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,1,0.00659,3422709934362,0.28615,0.10057,0.00000,0.00659,1,1,0.29020,0.12186,1,0.37552,0.07963,0, ,0,,0.31235,0.32423,33.62823,1.03371,1,0.64487,0.33754,38.72126,1.02971,1,0,0.00000,31,6.12291,1,6.20967,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,2,0.01329,3422710001473,0.28636,0.10186,0.00000,0.01329,1,1,0.29091,0.12906,1,0.37552,0.07963,0, ,0,,0.31231,0.32414,33.72332,1.02573,1,0.64492,0.33744,38.58934,1.02173,1,0,0.00000,31,6.14388,1,6.19029,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,3,0.01993,3422710067736,0.28649,0.10372,0.00000,0.01993,1,1,0.28926,0.14460,1,0.37552,0.07963,3, ,0,,0.31218,0.32410,33.64303,1.02173,1,0.64483,0.33726,38.69276,1.02173,1,0,0.00000,31,6.11729,1,6.21989,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,4,0.02695,3422710137956,0.28682,0.10511,0.00000,0.02695,1,1,0.29438,0.13712,1,0.37552,0.07963,0, ,0,,0.31211,0.32406,33.51106,1.02173,1,0.64478,0.33723,38.62247,1.02173,1,0,0.00000,31,6.10785,1,6.21068,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,5,0.03320,3422710200548,0.28715,0.10666,0.00000,0.03320,1,1,0.29509,0.14383,1,0.37552,0.07963,0, ,0,,0.31208,0.32405,33.50924,1.01798,1,0.64474,0.33729,38.83434,1.01422,1,0,0.00000,31,6.10460,1,6.18899,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,6,0.04025,3422710271055,0.28738,0.10791,0.00000,0.04025,1,1,0.29315,0.13930,1,0.37552,0.07963,0, ,0,,0.31198,0.32402,33.56366,1.01047,1,0.64457,0.33710,38.88709,1.00670,1,0,0.00000,31,6.12843,1,6.16776,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,7,0.04672,3422710335785,0.28720,0.10936,0.00000,0.04672,1,1,0.28263,0.14695,1,0.37552,0.07963,0, ,0,,0.31197,0.32402,33.53321,1.00296,1,0.64457,0.33705,38.99439,0.99919,1,0,0.00000,31,6.13154,1,6.16091,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,8,0.05365,3422710405041,0.28706,0.11095,0.00000,0.05365,1,1,0.28327,0.15377,1,0.37552,0.07963,0, ,0,,0.31194,0.32398,33.63549,0.99545,1,0.64459,0.33699,38.99117,0.99168,1,0,0.00000,31,6.11924,1,6.11574,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
3,05_Yale,9,0.06033,3422710471817,0.28692,0.11225,0.00000,0.06033,1,1,0.28301,0.14872,1,0.37552,0.07963,0, ,0,,0.31192,0.32406,33.47548,0.99168,1,0.64457,0.33673,38.27177,0.99168,1,0,0.00000,31,6.14137,1,6.17941,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
