FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.35178,0.05541,23.19473,21.48776,0.0,0.35561,0.06333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35188,0.05571,23.17268,21.44819,0.00622,0.35647,0.07003,0.0,1e-04,0.0003,-0.02205,-0.03957,0.00622,0.00086,0.0067,0.0
0.35239,0.05581,23.10238,21.47245,0.013,0.35792,0.07775,0.0,0.00051,1e-04,-0.0703,0.02426,0.00678,0.00145,0.00772,0.0
0.3529,0.05629,23.09975,21.51853,0.01971,0.36186,0.08366,0.0,0.00051,0.00048,-0.00263,0.04608,0.00671,0.00394,0.00591,0.0
0.35344,0.05698,23.19741,21.49119,0.02649,0.36171,0.08021,0.0,0.00054,0.00069,0.09766,-0.02734,0.00678,-0.00015,-0.00345,0.0
0.35391,0.05715,23.07912,21.60979,0.03314,0.3614,0.05645,0.0,0.00047,0.00017,-0.11829,0.1186,0.00665,-0.00031,-0.02376,0.0
0.35429,0.05735,23.1421,21.50131,0.03998,0.36136,0.0492,0.0,0.00038,0.0002,0.06298,-0.10848,0.00684,-4e-05,-0.00725,0.0
0.35466,0.05741,23.14068,21.46048,0.04669,0.36055,0.04245,0.0,0.00037,6e-05,-0.00142,-0.04083,0.00671,-0.00081,-0.00675,0.0
0.35474,0.05745,22.93464,21.50462,0.05432,0.35963,0.05175,0.0,8e-05,4e-05,-0.20604,0.04414,0.00763,-0.00092,0.0093,0.0
0.35469,0.05713,23.05841,21.4615,0.05993,0.35871,0.05321,0.0,-5e-05,-0.00032,0.12377,-0.04312,0.00561,-0.00092,0.00146,0.0
0.35462,0.05668,23.01999,21.63179,0.06647,0.35871,0.05321,0.0,-7e-05,-0.00045,-0.03842,0.17029,0.00654,0.0,0.0,0.0
0.35484,0.05592,23.0186,21.71452,0.07324,0.35919,0.03853,0.0,0.00022,-0.00076,-0.00139,0.08273,0.00677,0.00048,-0.01468,0.0
0.35495,0.05529,23.05507,21.74015,0.07989,0.35698,0.03731,0.0,0.00011,-0.00063,0.03647,0.02563,0.00665,-0.00221,-0.00122,0.0
0.35508,0.05485,23.01802,21.89448,0.08661,0.35698,0.03731,0.0,0.00013,-0.00044,-0.03705,0.15433,0.00672,0.0,0.0,0.0
0.35507,0.05449,22.95831,21.75592,0.09356,0.35757,0.03594,0.0,-1e-05,-0.00036,-0.05971,-0.13856,0.00695,0.00059,-0.00137,0.0
0.35479,0.05387,22.89471,21.75592,0.10016,0.3526,0.03522,0.0,-0.00028,-0.00062,-0.0636,0.0,0.0066,-0.00497,-0.00072,0.0
0.35449,0.05313,22.90353,22.10567,0.10693,0.35274,0.03874,0.0,-0.0003,-0.00074,0.00882,0.34975,0.00677,0.00014,0.00352,0.0
0.35416,0.05232,23.12554,21.93308,0.1134,0.34973,0.03841,0.0,-0.00033,-0.00081,0.22201,-0.17259,0.00647,-0.00301,-0.00033,0.0
0.35403,0.05165,23.10765,21.65992,0.1203,0.34818,0.04405,0.0,-0.00013,-0.00067,-0.01789,-0.27316,0.0069,-0.00155,0.00564,0.0
0.35396,0.0514,23.12568,21.66066,0.12683,0.3499,0.05713,0.0,-7e-05,-0.00025,0.01803,0.00074,0.00653,0.00172,0.01308,0.0
0.35436,0.05173,23.11626,21.64418,0.13366,0.36596,0.07605,0.0,0.0004,0.00033,-0.00942,-0.01648,0.00683,0.01606,0.01892,0.0
0.35485,0.05232,22.93112,21.5838,0.14038,0.36138,0.0806,0.0,0.00049,0.00059,-0.18514,-0.06038,0.00672,-0.00458,0.00455,0.0
0.35537,0.05303,22.80157,21.6142,0.14667,0.36138,0.0806,0.0,0.00052,0.00071,-0.12955,0.0304,0.00629,0.0,0.0,0.0
0.35573,0.05362,23.08926,21.97438,0.15362,0.3614,0.07466,0.0,0.00036,0.00059,0.28769,0.36018,0.00695,2e-05,-0.00594,0.0
0.35603,0.0542,23.07946,21.97145,0.16046,0.36127,0.07152,0.0,0.0003,0.00058,-0.0098,-0.00293,0.00684,-0.00013,-0.00314,0.0
0.3563,0.05457,23.07946,21.86646,0.16693,0.3605,0.06533,0.0,0.00027,0.00037,0.0,-0.10499,0.00647,-0.00077,-0.00619,0.0
0.35642,0.05492,22.89492,21.93118,0.17413,0.35825,0.07767,0.0,0.00012,0.00035,-0.18454,0.06472,0.0072,-0.00225,0.01234,0.0
0.35635,0.05504,22.92799,21.9623,0.18048,0.35624,0.07701,0.0,-7e-05,0.00012,0.03307,0.03112,0.00635,-0.00201,-0.00066,0.0
0.35627,0.05494,22.93567,21.81988,0.18731,0.35602,0.07354,0.0,-8e-05,-1e-04,0.00768,-0.14242,0.00683,-0.00022,-0.00347,0.0
0.35606,0.05439,23.10998,21.52415,0.19415,0.35291,0.06122,0.0,-0.00021,-0.00055,0.17431,-0.29573,0.00684,-0.00311,-0.01232,0.0
0.35573,0.05369,23.07586,21.54448,0.20044,0.35042,0.05212,0.0,-0.00033,-0.0007,-0.03412,0.02033,0.00629,-0.00249,-0.0091,0.0
0.35539,0.05291,23.01564,21.71852,0.20764,0.34954,0.04539,0.0,-0.00034,-0.00078,-0.06022,0.17404,0.0072,-0.00088,-0.00673,0.0
0.35513,0.05299,23.09035,21.65677,0.21399,0.34592,0.05077,0.0,-0.00026,8e-05,0.07471,-0.06175,0.00635,-0.00362,0.00538,0.0
0.35489,0.05312,22.95852,21.56212,0.22076,0.34523,0.05123,0.0,-0.00024,0.00013,-0.13183,-0.09465,0.00677,-0.00069,0.00046,0.0
0.35466,0.05339,22.95852,21.56212,0.22729,0.34523,0.05123,0.0,-0.00023,0.00027,0.0,0.0,0.00653,0.0,0.0,0.0
0.35432,0.05387,22.83349,21.5364,0.23376,0.3425,0.06163,0.0,-0.00034,0.00048,-0.12503,-0.02572,0.00647,-0.00273,0.0104,0.0
0.35413,0.05475,22.91219,21.89886,0.24096,0.34265,0.06202,0.0,-0.00019,0.00088,0.0787,0.36246,0.0072,0.00015,0.00039,0.0
