FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.28424,0.01522,19.13383,16.03582,0.0,0.2734,0.00143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28379,0.0143,19.19441,15.92907,0.00708,0.27137,-0.00701,0.0,-0.00045,-0.00092,0.06058,-0.10675,0.00708,-0.00203,-0.00844,0.0
0.28337,0.01388,19.14532,15.83874,0.01392,0.26824,-0.01461,0.0,-0.00042,-0.00042,-0.04909,-0.09033,0.00684,-0.00313,-0.0076,0.0
0.28338,0.01366,19.00698,16.02451,0.02026,0.27805,-0.00715,0.0,1e-05,-0.00022,-0.13834,0.18577,0.00634,0.00981,0.00746,0.0
0.28341,0.01353,18.90979,16.02451,0.02661,0.27805,-0.00715,0.0,3e-05,-0.00013,-0.09719,0.0,0.00635,0.0,0.0,0.0
0.28299,0.01315,19.06539,15.76174,0.03345,0.27406,-0.01605,0.0,-0.00042,-0.00038,0.1556,-0.26277,0.00684,-0.00399,-0.0089,0.0
0.28321,0.01252,18.98047,15.773,0.04102,0.28485,-0.02958,0.0,0.00022,-0.00063,-0.08492,0.01126,0.00757,0.01079,-0.01353,0.0
0.28346,0.01198,18.82214,15.28785,0.04736,0.28485,-0.02958,0.0,0.00025,-0.00054,-0.15833,-0.48515,0.00634,0.0,0.0,0.0
0.28367,0.01182,18.7247,15.8287,0.05396,0.29709,0.00231,0.0,0.00021,-0.00016,-0.09744,0.54085,0.0066,0.01224,0.03189,0.0
0.28328,0.01128,18.68877,15.90109,0.0603,0.28561,-0.01229,0.0,-0.00039,-0.00054,-0.03593,0.07239,0.00634,-0.01148,-0.0146,0.0
0.28297,0.0111,18.78617,16.04228,0.0669,0.28842,0.00063,0.0,-0.00031,-0.00018,0.0974,0.14119,0.0066,0.00281,0.01292,0.0
0.28327,0.0115,18.89346,16.08391,0.07373,0.28444,0.03725,0.0,0.0003,0.0004,0.10729,0.04163,0.00683,-0.00398,0.03662,0.0
0.28337,0.01247,18.85273,16.34101,0.08032,0.2851,0.04802,0.0,1e-04,0.00097,-0.04073,0.2571,0.00659,0.00066,0.01077,0.0
0.28345,0.01334,18.55799,16.42865,0.08691,0.28612,0.05178,0.0,8e-05,0.00087,-0.29474,0.08764,0.00659,0.00102,0.00376,0.0
0.28329,0.0138,18.41233,16.02804,0.09351,0.28154,0.04062,0.0,-0.00016,0.00046,-0.14566,-0.40061,0.0066,-0.00458,-0.01116,0.0
0.28287,0.01341,18.31726,16.06376,0.10059,0.27044,-0.02235,0.0,-0.00042,-0.00039,-0.09507,0.03572,0.00708,-0.0111,-0.06297,0.0
0.28236,0.01266,18.15234,15.73141,0.10718,0.26633,-0.03966,0.0,-0.00051,-0.00075,-0.16492,-0.33235,0.00659,-0.00411,-0.01731,0.0
