input_file,output_file,rows_in,rows_out,padded_rows,truncated_rows,n_cols_out,columns_ok
MIT_T1_User10_gaze.csv,MIT_T1_User10_features.csv,33248,1500,0,31748,16,1
MIT_T1_User14_gaze.csv,MIT_T1_User14_features.csv,36136,1500,0,34636,16,1
MIT_T1_User24_gaze.csv,MIT_T1_User24_features.csv,27545,1500,0,26045,16,1
MIT_T1_User28_gaze.csv,MIT_T1_User28_features.csv,7821,1500,0,6321,16,1
MIT_T1_User32_gaze.csv,MIT_T1_User32_features.csv,7757,1500,0,6257,16,1
MIT_T1_User36_gaze.csv,MIT_T1_User36_features.csv,9789,1500,0,8289,16,1
MIT_T2_User15_gaze.csv,MIT_T2_User15_features.csv,27218,1500,0,25718,16,1
MIT_T2_User17_gaze.csv,MIT_T2_User17_features.csv,30327,1500,0,28827,16,1
MIT_T2_User19_gaze.csv,MIT_T2_User19_features.csv,24495,1500,0,22995,16,1
MIT_T2_User23_gaze.csv,MIT_T2_User23_features.csv,9779,1500,0,8279,16,1
MIT_T2_User34_gaze.csv,MIT_T2_User34_features.csv,6297,1500,0,4797,16,1
MIT_T2_User4_gaze.csv,MIT_T2_User4_features.csv,16784,1500,0,15284,16,1
MIT_T3_User13_gaze.csv,MIT_T3_User13_features.csv,13458,1500,0,11958,16,1
MIT_T3_User22_gaze.csv,MIT_T3_User22_features.csv,39975,1500,0,38475,16,1
MIT_T3_User2_gaze.csv,MIT_T3_User2_features.csv,15656,1500,0,14156,16,1
MIT_T3_User35_gaze.csv,MIT_T3_User35_features.csv,17886,1500,0,16386,16,1
MIT_T3_User6_gaze.csv,MIT_T3_User6_features.csv,13906,1500,0,12406,16,1
MIT_T3_User8_gaze.csv,MIT_T3_User8_features.csv,24944,1500,0,23444,16,1
Princeton_T1_User 12_gaze.csv,Princeton_T1_User 12_features.csv,9597,1500,0,8097,16,1
Princeton_T1_User 16_gaze.csv,Princeton_T1_User 16_features.csv,2949,1500,0,1449,16,1
Princeton_T1_User 25_gaze.csv,Princeton_T1_User 25_features.csv,7970,1500,0,6470,16,1
Princeton_T1_User 26_gaze.csv,Princeton_T1_User 26_features.csv,16101,1500,0,14601,16,1
Princeton_T1_User 5_gaze.csv,Princeton_T1_User 5_features.csv,7196,1500,0,5696,16,1
