FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.37128,0.0526,18.23619,20.03617,0.0,0.37161,0.05018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37116,0.05065,18.54146,19.92415,0.0066,0.36965,0.02533,0.0,-0.00012,-0.00195,0.30527,-0.11202,0.0066,-0.00196,-0.02485,0.0
0.37114,0.04844,18.74902,20.39472,0.01355,0.37083,0.01737,0.0,-2e-05,-0.00221,0.20756,0.47057,0.00695,0.00118,-0.00796,0.0
0.3707,0.04608,18.08445,20.27788,0.02002,0.36402,0.01072,0.0,-0.00044,-0.00236,-0.66457,-0.11684,0.00647,-0.00681,-0.00665,0.0
0.3703,0.044,18.27172,20.2591,0.0271,0.36402,0.01072,0.0,-0.0004,-0.00208,0.18727,-0.01878,0.00708,0.0,0.0,0.0
0.36934,0.04302,18.31536,20.24813,0.03345,0.353,0.02642,0.0,-0.00096,-0.00098,0.04364,-0.01097,0.00635,-0.01102,0.0157,0.0
0.36991,0.04227,18.37531,19.90362,0.04017,0.38003,0.02872,0.0,0.00057,-0.00075,0.05995,-0.34451,0.00672,0.02703,0.0023,0.0
0.37043,0.04203,18.13663,20.04654,0.04737,0.38032,0.03747,0.0,0.00052,-0.00024,-0.23868,0.14292,0.0072,0.00029,0.00875,0.0
0.37013,0.04208,18.12501,20.06102,0.05457,0.36411,0.04316,0.0,-0.0003,5e-05,-0.01162,0.01448,0.0072,-0.01621,0.00569,0.0
0.37101,0.04224,18.77629,19.96191,0.06043,0.38957,0.04545,0.0,0.00088,0.00016,0.65128,-0.09911,0.00586,0.02546,0.00229,0.0
0.37186,0.04309,18.21332,20.27366,0.0669,0.39063,0.06186,0.0,0.00085,0.00085,-0.56297,0.31175,0.00647,0.00106,0.01641,0.0
0.37183,0.04493,17.95868,20.36256,0.07398,0.37104,0.08735,0.0,-3e-05,0.00184,-0.25464,0.0889,0.00708,-0.01959,0.02549,0.0
0.37246,0.04634,18.54465,20.00922,0.08069,0.38756,0.08011,0.0,0.00063,0.00141,0.58597,-0.35334,0.00671,0.01652,-0.00724,0.0
0.37306,0.04796,18.07273,20.16082,0.08704,0.38815,0.08849,0.0,0.0006,0.00162,-0.47192,0.1516,0.00635,0.00059,0.00838,0.0
0.37348,0.05026,18.08107,20.29333,0.094,0.38447,0.10997,0.0,0.00042,0.0023,0.00834,0.13251,0.00696,-0.00368,0.02148,0.0
0.37354,0.05148,17.89362,19.87518,0.10071,0.37508,0.08453,0.0,6e-05,0.00122,-0.18745,-0.41815,0.00671,-0.00939,-0.02544,0.0
0.37359,0.05262,17.99183,20.03774,0.10779,0.37508,0.08453,0.0,5e-05,0.00114,0.09821,0.16256,0.00708,0.0,0.0,0.0
0.37377,0.05489,18.16272,19.50248,0.1139,0.37891,0.1207,0.0,0.00018,0.00227,0.17089,-0.53526,0.00611,0.00383,0.03617,0.0
0.37367,0.05712,18.27995,19.93456,0.12085,0.37078,0.12404,0.0,-1e-04,0.00223,0.11723,0.43208,0.00695,-0.00813,0.00334,0.0
0.37883,0.08751,18.40863,20.22646,0.12085,0.37063,0.11999,0.0,0.00516,0.03039,0.12868,0.2919,0.0,-0.00015,-0.00405,0.0
0.37853,0.08707,18.38666,20.39482,0.12085,0.37822,0.08663,0.0,-0.0003,-0.00044,-0.02197,0.16836,0.0,0.00759,-0.03336,0.0
0.37388,0.07761,17.69139,20.0908,0.12085,0.36458,0.05869,0.0,-0.00465,-0.00946,-0.69527,-0.30402,0.0,-0.01364,-0.02794,0.0
0.37139,0.07092,18.35058,19.89825,0.02014,0.36391,0.05086,0.0,-0.00249,-0.00669,0.65919,-0.19255,-0.10071,-0.00067,-0.00783,0.0
0.37575,0.06577,18.54582,19.89517,0.0271,0.3932,0.04514,0.0,0.00436,-0.00515,0.19524,-0.00308,0.00696,0.02929,-0.00572,0.0
0.3742,0.06544,18.12012,20.37701,0.03381,0.36645,0.06383,0.0,-0.00155,-0.00033,-0.4257,0.48184,0.00671,-0.02675,0.01869,0.0
0.37309,0.06521,18.38768,20.0462,0.04089,0.36645,0.06383,0.0,-0.00111,-0.00023,0.26756,-0.33081,0.00708,0.0,0.0,0.0
0.37573,0.06822,18.251,19.61073,0.047,0.39416,0.08927,0.0,0.00264,0.00301,-0.13668,-0.43547,0.00611,0.02771,0.02544,0.0
0.37468,0.07195,18.46656,20.25097,0.05371,0.36632,0.10179,0.0,-0.00105,0.00373,0.21556,0.64024,0.00671,-0.02784,0.01252,0.0
0.37378,0.07413,17.84614,20.48536,0.06067,0.36561,0.09374,0.0,-0.0009,0.00218,-0.62042,0.23439,0.00696,-0.00071,-0.00805,0.0
0.37426,0.07235,18.33625,20.28712,0.06738,0.37914,0.05459,0.0,0.00048,-0.00178,0.49011,-0.19824,0.00671,0.01353,-0.03915,0.0
0.37485,0.0689,17.9835,19.71876,0.07373,0.38126,0.03085,0.0,0.00059,-0.00345,-0.35275,-0.56836,0.00635,0.00212,-0.02374,0.0
0.37529,0.06532,17.68041,19.88531,0.08044,0.38066,0.02246,0.0,0.00044,-0.00358,-0.30309,0.16655,0.00671,-0.0006,-0.00839,0.0
0.37538,0.06396,17.78852,20.11168,0.08728,0.37651,0.04621,0.0,9e-05,-0.00136,0.10811,0.22637,0.00684,-0.00415,0.02375,0.0
0.37544,0.06247,18.41595,19.8612,0.09399,0.37633,0.04159,0.0,6e-05,-0.00149,0.62743,-0.25048,0.00671,-0.00018,-0.00462,0.0
0.37549,0.06088,17.645,19.96324,0.10071,0.37617,0.03711,0.0,5e-05,-0.00159,-0.77095,0.10204,0.00672,-0.00016,-0.00448,0.0
