FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.35745,0.0879,23.30689,25.4407,0.0,0.34702,0.13756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35728,0.08807,23.40786,25.31368,0.00666,0.36495,0.10875,0.0,-0.00017,0.00017,0.10097,-0.12702,0.00666,0.01793,-0.02881,0.0
0.35726,0.0883,23.48801,25.27952,0.01337,0.34711,0.09632,0.0,-2e-05,0.00023,0.08015,-0.03416,0.00671,-0.01784,-0.01243,0.0
0.35723,0.08849,23.18066,25.47455,0.01953,0.34626,0.08986,0.0,-3e-05,0.00019,-0.30735,0.19503,0.00616,-0.00085,-0.00646,0.0
0.35705,0.08853,23.44237,25.27451,0.02594,0.35215,0.09628,0.0,-0.00018,4e-05,0.26171,-0.20004,0.00641,0.00589,0.00642,0.0
0.35703,0.08842,23.35266,25.20253,0.03351,0.36142,0.10399,0.0,-2e-05,-0.00011,-0.08971,-0.07198,0.00757,0.00927,0.00771,0.0
0.357,0.08831,23.68979,25.13615,0.0401,0.36217,0.11118,0.0,-3e-05,-0.00011,0.33713,-0.06638,0.00659,0.00075,0.00719,0.0
0.35724,0.08857,23.63923,24.93998,0.04669,0.37667,0.12022,0.0,0.00024,0.00026,-0.05056,-0.19617,0.00659,0.0145,0.00904,0.0
0.35719,0.08881,23.64086,24.98286,0.05298,0.36774,0.104,0.0,-5e-05,0.00024,0.00163,0.04288,0.00629,-0.00893,-0.01622,0.0
0.35713,0.08906,23.75724,25.15438,0.05988,0.36774,0.104,0.0,-6e-05,0.00025,0.11638,0.17152,0.0069,0.0,0.0,0.0
0.3565,0.08886,23.44617,25.46379,0.06647,0.34633,0.11153,0.0,-0.00063,-0.0002,-0.31107,0.30941,0.00659,-0.02141,0.00753,0.0
0.35627,0.08847,23.71028,25.41299,0.07337,0.36641,0.10873,0.0,-0.00023,-0.00039,0.26411,-0.0508,0.0069,0.02008,-0.0028,0.0
0.35603,0.08809,23.69248,25.31741,0.07978,0.36641,0.10873,0.0,-0.00024,-0.00038,-0.0178,-0.09558,0.00641,0.0,0.0,0.0
0.3554,0.08829,23.71412,25.36291,0.08698,0.34579,0.09919,0.0,-0.00063,0.0002,0.02164,0.0455,0.0072,-0.02062,-0.00954,0.0
0.35532,0.08845,23.5552,25.30537,0.09363,0.35743,0.09883,0.0,-8e-05,0.00016,-0.15892,-0.05754,0.00665,0.01164,-0.00036,0.0
0.35527,0.0888,23.02201,25.5948,0.10028,0.35833,0.10106,0.0,-5e-05,0.00035,-0.53319,0.28943,0.00665,0.0009,0.00223,0.0
0.35542,0.08983,23.10188,25.25626,0.10675,0.35882,0.12687,0.0,0.00015,0.00103,0.07987,-0.33854,0.00647,0.00049,0.02581,0.0
0.35572,0.09075,22.91547,25.39381,0.11359,0.35088,0.11261,0.0,0.0003,0.00092,-0.18641,0.13755,0.00684,-0.00794,-0.01426,0.0
0.35603,0.09191,23.80455,25.56351,0.12122,0.35168,0.12336,0.0,0.00031,0.00116,0.88908,0.1697,0.00763,0.0008,0.01075,0.0
0.35611,0.09344,23.428,24.94996,0.12647,0.35139,0.127,0.0,8e-05,0.00153,-0.37655,-0.61355,0.00525,-0.00029,0.00364,0.0
0.35624,0.09464,23.52884,24.85433,0.13349,0.36077,0.13014,0.0,0.00013,0.0012,0.10084,-0.09563,0.00702,0.00938,0.00314,0.0
0.35632,0.09541,23.65656,25.33524,0.14026,0.35928,0.11637,0.0,8e-05,0.00077,0.12772,0.48091,0.00677,-0.00149,-0.01377,0.0
0.35643,0.09546,23.79112,25.64052,0.1471,0.35896,0.09504,0.0,0.00011,5e-05,0.13456,0.30528,0.00684,-0.00032,-0.02133,0.0
0.35665,0.0954,23.56293,25.06513,0.15393,0.36849,0.09654,0.0,0.00022,-6e-05,-0.22819,-0.57539,0.00683,0.00953,0.0015,0.0
0.35686,0.0952,23.20697,25.23336,0.16065,0.3679,0.09021,0.0,0.00021,-0.0002,-0.35596,0.16823,0.00672,-0.00059,-0.00633,0.0
0.35662,0.0949,23.59817,25.68291,0.16736,0.35418,0.07725,0.0,-0.00024,-0.0003,0.3912,0.44955,0.00671,-0.01372,-0.01296,0.0
0.35635,0.0952,23.49695,25.25945,0.17407,0.34746,0.10106,0.0,-0.00027,0.0003,-0.10122,-0.42346,0.00671,-0.00672,0.02381,0.0
0.35609,0.09566,23.52881,25.46372,0.18079,0.34841,0.10827,0.0,-0.00026,0.00046,0.03186,0.20427,0.00672,0.00095,0.00721,0.0
0.35623,0.09659,23.07416,25.13026,0.18744,0.36215,0.12871,0.0,0.00014,0.00093,-0.45465,-0.33346,0.00665,0.01374,0.02044,0.0
0.35619,0.09725,23.60434,24.9218,0.19403,0.35535,0.10207,0.0,-4e-05,0.00066,0.53018,-0.20846,0.00659,-0.0068,-0.02664,0.0
0.35614,0.09776,23.77028,25.12036,0.20099,0.35451,0.0948,0.0,-5e-05,0.00051,0.16594,0.19856,0.00696,-0.00084,-0.00727,0.0
0.35612,0.09778,23.6131,25.2729,0.20764,0.35203,0.07976,0.0,-2e-05,2e-05,-0.15718,0.15254,0.00665,-0.00248,-0.01504,0.0
0.35595,0.09816,23.62586,25.20702,0.21436,0.33793,0.09663,0.0,-0.00017,0.00038,0.01276,-0.06588,0.00672,-0.0141,0.01687,0.0
0.35577,0.09853,23.45816,25.07,0.22095,0.33793,0.09663,0.0,-0.00018,0.00037,-0.1677,-0.13702,0.00659,0.0,0.0,0.0
0.3562,0.09856,23.44015,25.1405,0.22791,0.36093,0.08708,0.0,0.00043,3e-05,-0.01801,0.0705,0.00696,0.023,-0.00955,0.0
0.35645,0.09904,23.53084,24.9065,0.23419,0.35992,0.10911,0.0,0.00025,0.00048,0.09069,-0.234,0.00628,-0.00101,0.02203,0.0
0.35672,0.09967,23.61684,24.94668,0.24097,0.3607,0.11625,0.0,0.00027,0.00063,0.086,0.04018,0.00678,0.00078,0.00714,0.0
0.3561,0.09933,23.57913,25.66576,0.24768,0.34378,0.0917,0.0,-0.00062,-0.00034,-0.03771,0.71908,0.00671,-0.01692,-0.02455,0.0
0.35582,0.10022,23.39772,25.27474,0.25446,0.35418,0.11298,0.0,-0.00028,0.00089,-0.18141,-0.39102,0.00678,0.0104,0.02128,0.0
0.35554,0.10111,23.38577,25.39986,0.26093,0.35418,0.11298,0.0,-0.00028,0.00089,-0.01195,0.12512,0.00647,0.0,0.0,0.0
0.35534,0.10175,23.18723,24.64906,0.26789,0.33339,0.1026,0.0,-0.0002,0.00064,-0.19854,-0.7508,0.00696,-0.02079,-0.01038,0.0
0.35625,0.10216,23.08689,24.85254,0.27454,0.38037,0.09605,0.0,0.00091,0.00041,-0.10034,0.20348,0.00665,0.04698,-0.00655,0.0
0.35719,0.10272,23.03955,25.34255,0.28119,0.38037,0.09605,0.0,0.00094,0.00056,-0.04734,0.49001,0.00665,0.0,0.0,0.0
0.35718,0.10408,23.37958,24.93447,0.28797,0.37679,0.11516,0.0,-1e-05,0.00136,0.34003,-0.40808,0.00678,-0.00358,0.01911,0.0
0.35733,0.10545,23.37958,24.99021,0.29444,0.36962,0.11729,0.0,0.00015,0.00137,0.0,0.05574,0.00647,-0.00717,0.00213,0.0
0.35745,0.10677,23.08777,24.96247,0.30103,0.36962,0.11729,0.0,0.00012,0.00132,-0.29181,-0.02774,0.00659,0.0,0.0,0.0
0.3574,0.10646,23.22179,24.60546,0.3078,0.35245,0.09844,0.0,-5e-05,-0.00031,0.13402,-0.35701,0.00677,-0.01717,-0.01885,0.0
0.3575,0.10567,23.51145,24.68926,0.31427,0.3516,0.09568,0.0,1e-04,-0.00079,0.28966,0.0838,0.00647,-0.00085,-0.00276,0.0
