FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.57255,0.45346,22.23585,24.61054,1e-05,0.58031,0.44373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57263,0.45335,22.10115,24.94401,0.00701,0.57636,0.44864,0.0,8e-05,-0.00011,-0.1347,0.33347,0.007,-0.00395,0.00491,0.0
0.5727,0.45332,22.14259,24.78798,0.01412,0.57636,0.44864,0.0,7e-05,-3e-05,0.04144,-0.15603,0.00711,0.0,0.0,0.0
0.57281,0.45293,22.86723,24.7497,0.02065,0.57081,0.44192,0.0,0.00011,-0.00039,0.72464,-0.03828,0.00653,-0.00555,-0.00672,0.0
0.5729,0.45274,22.88425,24.49052,0.0271,0.56488,0.43413,0.0,9e-05,-0.00019,0.01702,-0.25918,0.00645,-0.00593,-0.00779,0.0
0.57298,0.45263,22.66128,24.81871,0.03381,0.56465,0.4361,0.0,8e-05,-0.00011,-0.22297,0.32819,0.00671,-0.00023,0.00197,0.0
0.57305,0.45221,22.56601,24.69599,0.0408,0.57529,0.44102,0.0,7e-05,-0.00042,-0.09527,-0.12272,0.00699,0.01064,0.00492,0.0
0.57309,0.45215,22.5346,24.86737,0.04766,0.57924,0.45479,0.0,4e-05,-6e-05,-0.03141,0.17138,0.00686,0.00395,0.01377,0.0
0.57312,0.45221,22.55985,24.88053,0.05427,0.57886,0.45886,0.0,3e-05,6e-05,0.02525,0.01316,0.00661,-0.00038,0.00407,0.0
0.573,0.45304,22.46039,25.01098,0.06116,0.57638,0.47306,0.0,-0.00012,0.00083,-0.09946,0.13045,0.00689,-0.00248,0.0142,0.0
0.57312,0.45349,22.70702,24.80345,0.06761,0.58212,0.47879,0.0,0.00012,0.00045,0.24663,-0.20753,0.00645,0.00574,0.00573,0.0
0.57324,0.45381,22.37418,24.66744,0.07422,0.5824,0.47696,0.0,0.00012,0.00032,-0.33284,-0.13601,0.00661,0.00028,-0.00183,0.0
0.57328,0.45347,22.42916,24.71708,0.0806,0.56894,0.44124,0.0,4e-05,-0.00034,0.05498,0.04964,0.00638,-0.01346,-0.03572,0.0
0.57325,0.45338,22.35876,24.75263,0.08754,0.57183,0.45156,0.0,-3e-05,-9e-05,-0.0704,0.03555,0.00694,0.00289,0.01032,0.0
0.57323,0.45334,22.29158,25.07844,0.09406,0.57181,0.45177,0.0,-2e-05,-4e-05,-0.06718,0.32581,0.00652,-2e-05,0.00021,0.0
0.57306,0.45362,22.39183,24.92738,0.10046,0.56819,0.45842,0.0,-0.00017,0.00028,0.10025,-0.15106,0.0064,-0.00362,0.00665,0.0
0.57281,0.45433,22.51648,24.94897,0.10718,0.56032,0.47158,0.0,-0.00025,0.00071,0.12465,0.02159,0.00672,-0.00787,0.01316,0.0
0.57256,0.45499,22.29524,24.85204,0.11424,0.56042,0.46931,0.0,-0.00025,0.00066,-0.22124,-0.09693,0.00706,1e-04,-0.00227,0.0
0.5725,0.45508,22.55353,24.6831,0.12098,0.56699,0.46043,0.0,-6e-05,9e-05,0.25829,-0.16894,0.00674,0.00657,-0.00888,0.0
0.57229,0.45522,22.57213,25.02427,0.12724,0.5669,0.45878,0.0,-0.00021,0.00014,0.0186,0.34117,0.00626,-9e-05,-0.00165,0.0
0.57209,0.45522,22.45612,24.73799,0.13431,0.56691,0.45857,0.0,-0.0002,0.0,-0.11601,-0.28628,0.00707,1e-05,-0.00021,0.0
0.57211,0.45499,22.43779,25.07295,0.14067,0.5654,0.46285,0.0,2e-05,-0.00023,-0.01833,0.33496,0.00636,-0.00151,0.00428,0.0
0.57195,0.45474,22.43779,24.83468,0.14735,0.56546,0.46741,0.0,-0.00016,-0.00025,0.0,-0.23827,0.00668,6e-05,0.00456,0.0
0.57177,0.45465,22.09381,25.02762,0.15486,0.56512,0.47159,0.0,-0.00018,-9e-05,-0.34398,0.19294,0.00751,-0.00034,0.00418,0.0
0.57164,0.45455,22.13814,24.81744,0.16141,0.56746,0.44808,0.0,-0.00013,-1e-04,0.04433,-0.21018,0.00655,0.00234,-0.02351,0.0
0.5717,0.45416,22.34461,24.90916,0.16823,0.56683,0.46203,0.0,6e-05,-0.00039,0.20647,0.09172,0.00682,-0.00063,0.01395,0.0
0.57176,0.45381,22.36253,24.89076,0.17468,0.56673,0.46441,0.0,6e-05,-0.00035,0.01792,-0.0184,0.00645,-1e-04,0.00238,0.0
0.57204,0.45422,22.84707,24.78839,0.18171,0.58022,0.47825,0.0,0.00028,0.00041,0.48454,-0.10237,0.00703,0.01349,0.01384,0.0
0.57224,0.45443,22.86721,24.55891,0.1883,0.57572,0.46305,0.0,0.0002,0.00021,0.02014,-0.22948,0.00659,-0.0045,-0.0152,0.0
0.57244,0.45456,22.39727,24.65588,0.19568,0.57647,0.4548,0.0,0.0002,0.00013,-0.46994,0.09697,0.00738,0.00075,-0.00825,0.0
0.57246,0.45443,22.23887,24.52135,0.20167,0.57306,0.44749,0.0,2e-05,-0.00013,-0.1584,-0.13453,0.00599,-0.00341,-0.00731,0.0
0.57232,0.45467,22.3463,24.75104,0.20827,0.56678,0.45377,0.0,-0.00014,0.00024,0.10743,0.22969,0.0066,-0.00628,0.00628,0.0
0.57218,0.45501,22.17742,24.91333,0.21492,0.56678,0.45377,0.0,-0.00014,0.00034,-0.16888,0.16229,0.00665,0.0,0.0,0.0
0.57209,0.4545,22.4811,24.78426,0.22126,0.57535,0.43944,0.0,-9e-05,-0.00051,0.30368,-0.12907,0.00634,0.00857,-0.01433,0.0
0.57224,0.45413,22.58075,24.91092,0.22776,0.57935,0.45421,0.0,0.00015,-0.00037,0.09965,0.12666,0.0065,0.004,0.01477,0.0
0.57239,0.45376,22.14249,24.98246,0.23473,0.57935,0.45421,0.0,0.00015,-0.00037,-0.43826,0.07154,0.00697,0.0,0.0,0.0
0.57221,0.45437,21.996,24.85081,0.24117,0.57603,0.46976,0.0,-0.00018,0.00061,-0.14649,-0.13165,0.00644,-0.00332,0.01555,0.0
0.5722,0.45544,22.08099,24.70932,0.24824,0.56964,0.48174,0.0,-1e-05,0.00107,0.08499,-0.14149,0.00707,-0.00639,0.01198,0.0
0.57219,0.4566,22.17347,24.76146,0.2553,0.56942,0.48361,0.0,-1e-05,0.00116,0.09248,0.05214,0.00706,-0.00022,0.00187,0.0
0.57209,0.4568,22.75706,24.62156,0.26198,0.56962,0.44881,0.0,-1e-04,0.0002,0.58359,-0.1399,0.00668,0.0002,-0.0348,0.0
0.57208,0.457,22.73326,24.56511,0.26884,0.57864,0.45716,0.0,-1e-05,0.0002,-0.0238,-0.05645,0.00686,0.00902,0.00835,0.0
0.57206,0.45733,22.48174,24.76297,0.27504,0.57811,0.46356,0.0,-2e-05,0.00033,-0.25152,0.19786,0.0062,-0.00053,0.0064,0.0
0.57202,0.45759,22.3799,24.71569,0.28201,0.57538,0.46236,0.0,-4e-05,0.00026,-0.10184,-0.04728,0.00697,-0.00273,-0.0012,0.0
0.5719,0.45805,22.3173,24.7124,0.28845,0.57401,0.46299,0.0,-0.00012,0.00046,-0.0626,-0.00329,0.00644,-0.00137,0.00063,0.0
0.57178,0.45844,22.48886,24.83957,0.29528,0.57436,0.45897,0.0,-0.00012,0.00039,0.17156,0.12717,0.00683,0.00035,-0.00402,0.0
0.57177,0.45869,22.33977,24.76761,0.3022,0.56758,0.46832,0.0,-1e-05,0.00025,-0.14909,-0.07196,0.00692,-0.00678,0.00935,0.0
0.57184,0.45902,22.32434,24.88807,0.30889,0.56963,0.47906,0.0,7e-05,0.00033,-0.01543,0.12046,0.00669,0.00205,0.01074,0.0
0.57192,0.45931,22.29294,24.78498,0.31558,0.56974,0.47688,0.0,8e-05,0.00029,-0.0314,-0.10309,0.00669,0.00011,-0.00218,0.0
0.57166,0.45952,22.18179,24.74058,0.32192,0.56762,0.45385,0.0,-0.00026,0.00021,-0.11115,-0.0444,0.00634,-0.00212,-0.02303,0.0
0.57165,0.45961,21.86911,24.69816,0.32851,0.5762,0.45304,0.0,-1e-05,9e-05,-0.31268,-0.04242,0.00659,0.00858,-0.00081,0.0
0.57165,0.45975,21.672,24.72505,0.33514,0.57606,0.45519,0.0,0.0,0.00014,-0.19711,0.02689,0.00663,-0.00014,0.00215,0.0
0.57174,0.46028,22.25786,24.69497,0.34184,0.57531,0.46735,0.0,9e-05,0.00053,0.58586,-0.03008,0.0067,-0.00075,0.01216,0.0
0.57207,0.4606,22.48922,24.67168,0.34866,0.5806,0.44962,0.0,0.00033,0.00032,0.23136,-0.02329,0.00682,0.00529,-0.01773,0.0
0.5724,0.46089,22.6709,24.66052,0.35531,0.58058,0.44983,0.0,0.00033,0.00029,0.18168,-0.01116,0.00665,-2e-05,0.00021,0.0
0.57235,0.46082,22.45179,24.61074,0.36234,0.57295,0.43774,0.0,-5e-05,-7e-05,-0.21911,-0.04978,0.00703,-0.00763,-0.01209,0.0
0.57233,0.46046,22.54279,24.68736,0.36892,0.57815,0.43766,0.0,-2e-05,-0.00036,0.091,0.07662,0.00658,0.0052,-8e-05,0.0
0.57232,0.45997,22.58262,24.67154,0.37564,0.57828,0.43532,0.0,-1e-05,-0.00049,0.03983,-0.01582,0.00672,0.00013,-0.00234,0.0
0.5722,0.45941,22.42724,24.60723,0.38219,0.57077,0.44589,0.0,-0.00012,-0.00056,-0.15538,-0.06431,0.00655,-0.00751,0.01057,0.0
0.57203,0.45872,22.63484,24.51982,0.38901,0.57403,0.44564,0.0,-0.00017,-0.00069,0.2076,-0.08741,0.00682,0.00326,-0.00025,0.0
0.57185,0.45811,22.09118,24.25543,0.39562,0.57392,0.44774,0.0,-0.00018,-0.00061,-0.54366,-0.26439,0.00661,-0.00011,0.0021,0.0
0.57144,0.45803,22.35032,24.60467,0.40193,0.54908,0.43748,0.0,-0.00041,-8e-05,0.25914,0.34924,0.00631,-0.02484,-0.01026,0.0
0.57079,0.45733,21.79724,23.78781,0.40897,0.54069,0.41818,0.0,-0.00065,-0.0007,-0.55308,-0.81686,0.00704,-0.00839,-0.0193,0.0
0.57015,0.4565,21.42882,23.81385,0.41594,0.5411,0.41164,0.0,-0.00064,-0.00083,-0.36842,0.02604,0.00697,0.00041,-0.00654,0.0
0.5694,0.4548,22.34269,23.95994,0.42237,0.53204,0.37699,0.0,-0.00075,-0.0017,0.91387,0.14609,0.00643,-0.00906,-0.03465,0.0
0.56024,0.42548,22.17297,23.89077,0.42237,0.53134,0.36167,0.0,-0.00916,-0.02932,-0.16972,-0.06917,0.0,-0.0007,-0.01532,0.0
0.54579,0.39234,21.94713,23.64901,0.42237,0.53135,0.3592,0.0,-0.01445,-0.03314,-0.22584,-0.24176,0.0,1e-05,-0.00247,0.0
0.53931,0.38791,22.02593,23.5293,0.42237,0.52634,0.37906,0.0,-0.00648,-0.00443,0.0788,-0.11971,0.0,-0.00501,0.01986,0.0
0.5377,0.39017,22.06029,23.52041,0.02023,0.53285,0.39692,0.0,-0.00161,0.00226,0.03436,-0.00889,-0.40214,0.00651,0.01786,0.0
0.53663,0.3938,21.96369,23.63589,0.0269,0.53238,0.40834,0.0,-0.00107,0.00363,-0.0966,0.11548,0.00667,-0.00047,0.01142,0.0
0.53479,0.39937,21.88452,23.46546,0.03343,0.52556,0.42721,0.0,-0.00184,0.00557,-0.07917,-0.17043,0.00653,-0.00682,0.01887,0.0
0.53396,0.40383,21.85712,23.34625,0.04034,0.529,0.4306,0.0,-0.00083,0.00446,-0.0274,-0.11921,0.00691,0.00344,0.00339,0.0
0.53334,0.40745,21.87818,22.95551,0.04696,0.52898,0.43278,0.0,-0.00062,0.00362,0.02106,-0.39074,0.00662,-2e-05,0.00218,0.0
0.53411,0.41063,22.23631,22.81177,0.0536,0.54027,0.43609,0.0,0.00077,0.00318,0.35813,-0.14374,0.00664,0.01129,0.00331,0.0
0.53396,0.41253,22.24672,22.83075,0.06048,0.53264,0.42961,0.0,-0.00015,0.0019,0.01041,0.01898,0.00688,-0.00763,-0.00648,0.0
0.53386,0.4137,21.6308,22.89942,0.06713,0.53281,0.42538,0.0,-1e-04,0.00117,-0.61592,0.06867,0.00665,0.00017,-0.00423,0.0
0.5326,0.41481,21.58489,22.9792,0.07406,0.51873,0.42703,0.0,-0.00126,0.00111,-0.04591,0.07978,0.00693,-0.01408,0.00165,0.0
0.53206,0.41499,21.54294,23.05777,0.08033,0.52569,0.41716,0.0,-0.00054,0.00018,-0.04195,0.07857,0.00627,0.00696,-0.00987,0.0
0.53162,0.41482,21.40369,22.91865,0.08714,0.52584,0.41265,0.0,-0.00044,-0.00017,-0.13925,-0.13912,0.00681,0.00015,-0.00451,0.0
0.53151,0.41447,21.56296,22.60687,0.09382,0.52998,0.40961,0.0,-0.00011,-0.00035,0.15927,-0.31178,0.00668,0.00414,-0.00304,0.0
0.5318,0.4139,21.59418,22.54103,0.10061,0.53617,0.4053,0.0,0.00029,-0.00057,0.03122,-0.06584,0.00679,0.00619,-0.00431,0.0
0.53207,0.41313,21.49943,22.7658,0.10769,0.53636,0.40082,0.0,0.00027,-0.00077,-0.09475,0.22477,0.00708,0.00019,-0.00448,0.0
0.53136,0.4122,21.38731,22.80348,0.11398,0.51922,0.39627,0.0,-0.00071,-0.00093,-0.11212,0.03768,0.00629,-0.01714,-0.00455,0.0
0.53117,0.41153,21.52414,22.64297,0.12086,0.52785,0.39948,0.0,-0.00019,-0.00067,0.13683,-0.16051,0.00688,0.00863,0.00321,0.0
0.531,0.41115,21.54858,22.36937,0.12723,0.5277,0.40398,0.0,-0.00017,-0.00038,0.02444,-0.2736,0.00637,-0.00015,0.0045,0.0
0.53129,0.41167,21.33821,22.34545,0.13418,0.53714,0.42212,0.0,0.00029,0.00052,-0.21037,-0.02392,0.00695,0.00944,0.01814,0.0
0.53099,0.41214,21.19235,22.37777,0.14061,0.52478,0.42203,0.0,-0.0003,0.00047,-0.14586,0.03232,0.00643,-0.01236,-9e-05,0.0
0.53072,0.41277,21.15612,22.43012,0.14711,0.52464,0.42648,0.0,-0.00027,0.00063,-0.03623,0.05235,0.0065,-0.00014,0.00445,0.0
0.531,0.41336,21.14491,22.1024,0.15457,0.5375,0.4271,0.0,0.00028,0.00059,-0.01121,-0.32772,0.00746,0.01286,0.00062,0.0
0.53114,0.41411,21.39131,22.16158,0.1609,0.53442,0.43202,0.0,0.00014,0.00075,0.2464,0.05918,0.00633,-0.00308,0.00492,0.0
0.53127,0.41463,21.19421,22.3407,0.16816,0.53461,0.42761,0.0,0.00013,0.00052,-0.1971,0.17912,0.00726,0.00019,-0.00441,0.0
0.53125,0.41472,21.01207,22.29194,0.17613,0.5306,0.4171,0.0,-2e-05,9e-05,-0.18214,-0.04876,0.00797,-0.00401,-0.01051,0.0
0.53125,0.4144,20.98963,22.31228,0.1808,0.53124,0.4057,0.0,0.0,-0.00032,-0.02244,0.02034,0.00467,0.00064,-0.0114,0.0
0.53125,0.4141,20.6717,22.28571,0.18772,0.53124,0.4057,0.0,0.0,-0.0003,-0.31793,-0.02657,0.00692,0.0,0.0,0.0
0.53092,0.41351,20.74778,22.05505,0.19431,0.52136,0.39637,0.0,-0.00033,-0.00059,0.07608,-0.23066,0.00659,-0.00988,-0.00933,0.0
0.53112,0.41312,20.46077,22.20755,0.20136,0.53715,0.40144,0.0,0.0002,-0.00039,-0.28701,0.1525,0.00705,0.01579,0.00507,0.0
0.5313,0.4129,20.68297,22.14964,0.20777,0.53695,0.40601,0.0,0.00018,-0.00022,0.2222,-0.05791,0.00641,-0.0002,0.00457,0.0
0.53097,0.41357,20.9622,22.04588,0.21431,0.52031,0.43512,0.0,-0.00033,0.00067,0.27923,-0.10376,0.00654,-0.01664,0.02911,0.0
0.53108,0.41431,20.96205,22.28894,0.22107,0.53471,0.4387,0.0,0.00011,0.00074,-0.00015,0.24306,0.00676,0.0144,0.00358,0.0
0.53118,0.415,20.81926,22.07484,0.22814,0.53471,0.4387,0.0,1e-04,0.00069,-0.14279,-0.2141,0.00707,0.0,0.0,0.0
0.53098,0.41548,20.78152,21.97453,0.23493,0.52393,0.43194,0.0,-0.0002,0.00048,-0.03774,-0.10031,0.00679,-0.01078,-0.00676,0.0
0.53091,0.41583,20.684,22.18867,0.24157,0.52831,0.42861,0.0,-7e-05,0.00035,-0.09752,0.21414,0.00664,0.00438,-0.00333,0.0
0.53084,0.41617,20.47291,21.83896,0.24829,0.52831,0.42861,0.0,-7e-05,0.00034,-0.21109,-0.34971,0.00672,0.0,0.0,0.0
0.53076,0.41669,20.6296,21.67992,0.25515,0.52775,0.43647,0.0,-8e-05,0.00052,0.15669,-0.15904,0.00686,-0.00056,0.00786,0.0
0.53076,0.41712,20.57415,21.86712,0.26139,0.53072,0.43394,0.0,0.0,0.00043,-0.05545,0.1872,0.00624,0.00297,-0.00253,0.0
0.53076,0.41753,20.46491,21.78515,0.26806,0.53072,0.43394,0.0,0.0,0.00041,-0.10924,-0.08197,0.00667,0.0,0.0,0.0
0.53064,0.4172,20.3528,21.52949,0.27489,0.52567,0.40372,0.0,-0.00012,-0.00033,-0.11211,-0.25566,0.00683,-0.00505,-0.03022,0.0
0.53042,0.41699,20.35934,21.40987,0.28153,0.52143,0.4083,0.0,-0.00022,-0.00021,0.00654,-0.11962,0.00664,-0.00424,0.00458,0.0
0.53022,0.4168,20.44892,21.53256,0.28922,0.52143,0.4083,0.0,-0.0002,-0.00019,0.08958,0.12269,0.00769,0.0,0.0,0.0
0.53014,0.41691,20.48587,21.48791,0.2947,0.52677,0.42191,0.0,-8e-05,0.00011,0.03695,-0.04465,0.00548,0.00534,0.01361,0.0
0.53024,0.41682,20.16649,21.45877,0.3017,0.53481,0.41281,0.0,1e-04,-9e-05,-0.31938,-0.02914,0.007,0.00804,-0.0091,0.0
0.53034,0.41673,19.85085,21.36278,0.30823,0.53481,0.41281,0.0,1e-04,-9e-05,-0.31564,-0.09599,0.00653,0.0,0.0,0.0
0.53044,0.41694,20.19095,21.51443,0.31498,0.53518,0.42646,0.0,1e-04,0.00021,0.3401,0.15165,0.00675,0.00037,0.01365,0.0
0.52971,0.41699,20.25378,21.48781,0.32173,0.52533,0.42795,0.0,-0.00073,5e-05,0.06283,-0.02662,0.00675,-0.00985,0.00149,0.0
0.52959,0.41842,20.05833,21.45827,0.32839,0.52533,0.42795,0.0,-0.00012,0.00143,-0.19545,-0.02954,0.00666,0.0,0.0,0.0
0.52967,0.41968,19.90886,21.44642,0.33538,0.53005,0.43937,0.0,8e-05,0.00126,-0.14947,-0.01185,0.00699,0.00472,0.01142,0.0
0.52946,0.42017,20.07771,21.28588,0.34219,0.52288,0.42073,0.0,-0.00021,0.00049,0.16885,-0.16054,0.00681,-0.00717,-0.01864,0.0
0.52926,0.42043,20.09128,21.48596,0.34888,0.52288,0.42073,0.0,-0.0002,0.00026,0.01357,0.20008,0.00669,0.0,0.0,0.0
0.52926,0.42049,19.98686,21.76493,0.35557,0.52581,0.42991,0.0,0.0,6e-05,-0.10442,0.27897,0.00669,0.00293,0.00918,0.0
0.52931,0.42033,19.82321,21.72163,0.36224,0.53107,0.42311,0.0,5e-05,-0.00016,-0.16365,-0.0433,0.00667,0.00526,-0.0068,0.0
0.52935,0.42008,19.98986,21.6795,0.36882,0.53114,0.4207,0.0,4e-05,-0.00025,0.16665,-0.04213,0.00658,7e-05,-0.00241,0.0
0.52905,0.4197,19.62696,21.81461,0.37535,0.52562,0.41783,0.0,-0.0003,-0.00038,-0.3629,0.13511,0.00653,-0.00552,-0.00287,0.0
0.52901,0.41937,19.72643,21.71367,0.38228,0.53103,0.41385,0.0,-4e-05,-0.00033,0.09947,-0.10094,0.00693,0.00541,-0.00398,0.0
0.52898,0.41918,19.9568,21.65963,0.38853,0.53099,0.41607,0.0,-3e-05,-0.00019,0.23037,-0.05404,0.00625,-4e-05,0.00222,0.0
0.5292,0.41896,19.86341,21.63652,0.39515,0.52951,0.4167,0.0,0.00022,-0.00022,-0.09339,-0.02311,0.00662,-0.00148,0.00063,0.0
0.52932,0.41907,19.59959,20.84378,0.40199,0.53153,0.42228,0.0,0.00012,0.00011,-0.26382,-0.79274,0.00684,0.00202,0.00558,0.0
0.52944,0.41932,19.55017,20.91298,0.40873,0.53137,0.42459,0.0,0.00012,0.00025,-0.04942,0.0692,0.00674,-0.00016,0.00231,0.0
0.52948,0.41961,19.57435,20.88443,0.41526,0.53207,0.42357,0.0,4e-05,0.00029,0.02418,-0.02855,0.00653,0.0007,-0.00102,0.0
0.52932,0.42009,19.71172,20.91615,0.42202,0.52848,0.42842,0.0,-0.00016,0.00048,0.13737,0.03172,0.00676,-0.00359,0.00485,0.0
0.52915,0.42075,19.80092,21.02869,0.42875,0.52833,0.43269,0.0,-0.00017,0.00066,0.0892,0.11254,0.00673,-0.00015,0.00427,0.0
0.52932,0.42137,19.93897,21.17959,0.43537,0.52739,0.42594,0.0,0.00017,0.00062,0.13805,0.1509,0.00662,-0.00094,-0.00675,0.0
0.52939,0.4216,19.95521,21.23207,0.4422,0.53093,0.41046,0.0,7e-05,0.00023,0.01624,0.05248,0.00683,0.00354,-0.01548,0.0
0.52946,0.42169,19.94849,21.3678,0.44916,0.53106,0.4083,0.0,7e-05,9e-05,-0.00672,0.13573,0.00696,0.00013,-0.00216,0.0
0.52922,0.42183,19.71397,21.12577,0.45584,0.52575,0.42873,0.0,-0.00024,0.00014,-0.23452,-0.24203,0.00668,-0.00531,0.02043,0.0
0.52924,0.42205,19.94849,21.25506,0.4626,0.52562,0.43275,0.0,2e-05,0.00022,0.23452,0.12929,0.00676,-0.00013,0.00402,0.0
0.52926,0.42209,19.67255,21.41401,0.46886,0.52576,0.42852,0.0,2e-05,4e-05,-0.27594,0.15895,0.00626,0.00014,-0.00423,0.0
0.52903,0.42163,19.70591,21.35972,0.476,0.52622,0.4047,0.0,-0.00023,-0.00046,0.03336,-0.05429,0.00714,0.00046,-0.02382,0.0
0.52893,0.42108,19.70591,21.36258,0.48345,0.52964,0.40595,0.0,-1e-04,-0.00055,0.0,0.00286,0.00745,0.00342,0.00125,0.0
