FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.39913,0.089,25.83333,21.66241,0.0,0.38491,0.09883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39818,0.08813,26.17558,23.56338,0.00586,0.39056,0.08117,0.0,-0.00095,-0.00087,0.34225,1.90097,0.00586,0.00565,-0.01766,0.0
0.39785,0.08713,25.94917,23.26046,0.01319,0.39493,0.07807,0.0,-0.00033,-0.001,-0.22641,-0.30292,0.00733,0.00437,-0.0031,0.0
0.39751,0.08531,26.19231,21.5157,0.01953,0.39408,0.0671,0.0,-0.00034,-0.00182,0.24314,-1.74476,0.00634,-0.00085,-0.01097,0.0
0.3965,0.08226,26.08158,23.64865,0.02637,0.38534,0.04869,0.0,-0.00101,-0.00305,-0.11073,2.13295,0.00684,-0.00874,-0.01841,0.0
0.39653,0.08181,26.05284,23.61473,0.0332,0.39689,0.07649,0.0,3e-05,-0.00045,-0.02874,-0.03392,0.00683,0.01155,0.0278,0.0
0.39655,0.08143,26.37616,21.61605,0.03955,0.39689,0.07649,0.0,2e-05,-0.00038,0.32332,-1.99868,0.00635,0.0,0.0,0.0
0.39619,0.08011,25.87931,21.70137,0.04639,0.39106,0.06166,0.0,-0.00036,-0.00132,-0.49685,0.08532,0.00684,-0.00583,-0.01483,0.0
0.39532,0.08031,26.49244,23.67917,0.05322,0.38237,0.08325,0.0,-0.00087,0.0002,0.61313,1.9778,0.00683,-0.00869,0.02159,0.0
0.39461,0.08096,26.40179,21.68534,0.05957,0.38314,0.09135,0.0,-0.00071,0.00065,-0.09065,-1.99383,0.00635,0.00077,0.0081,0.0
0.39404,0.08042,26.46335,21.88234,0.06641,0.38449,0.07121,0.0,-0.00057,-0.00054,0.06156,0.197,0.00684,0.00135,-0.02014,0.0
0.39403,0.07934,26.24665,23.43977,0.07276,0.3937,0.05996,0.0,-1e-05,-0.00108,-0.2167,1.55743,0.00635,0.00921,-0.01125,0.0
0.39398,0.07799,26.52365,21.75572,0.07959,0.39309,0.05231,0.0,-5e-05,-0.00135,0.277,-1.68405,0.00683,-0.00061,-0.00765,0.0
0.39392,0.07735,26.19324,21.93159,0.08643,0.39276,0.06459,0.0,-6e-05,-0.00064,-0.33041,0.17587,0.00684,-0.00033,0.01228,0.0
0.39391,0.07602,26.52193,23.83331,0.09326,0.39365,0.048,0.0,-1e-05,-0.00133,0.32869,1.90172,0.00683,0.00089,-0.01659,0.0
0.39392,0.07502,26.61698,21.68988,0.1001,0.39405,0.05318,0.0,1e-05,-0.001,0.09505,-2.14343,0.00684,0.0004,0.00518,0.0
0.39368,0.07511,26.41998,21.87187,0.10694,0.38822,0.07717,0.0,-0.00024,9e-05,-0.197,0.18199,0.00684,-0.00583,0.02399,0.0
0.39364,0.07512,26.90401,23.736,0.11328,0.39266,0.07539,0.0,-4e-05,1e-05,0.48403,1.86413,0.00634,0.00444,-0.00178,0.0
0.39362,0.07534,26.2361,21.9906,0.12012,0.39307,0.08063,0.0,-2e-05,0.00022,-0.66791,-1.7454,0.00684,0.00041,0.00524,0.0
0.39346,0.07531,26.87987,21.99569,0.12647,0.38952,0.07452,0.0,-0.00016,-3e-05,0.64377,0.00509,0.00635,-0.00355,-0.00611,0.0
0.39352,0.07534,26.97509,23.83615,0.1333,0.39514,0.07637,0.0,6e-05,3e-05,0.09522,1.84046,0.00683,0.00562,0.00185,0.0
0.39358,0.07538,26.81942,24.33774,0.14014,0.39514,0.07637,0.0,6e-05,4e-05,-0.15567,0.50159,0.00684,0.0,0.0,0.0
