FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.44442,0.13999,32.81824,32.95145,0.0,0.49389,0.18843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48614,0.17768,32.74914,32.95378,0.0,0.48817,0.17457,0.0,0.04172,0.03769,-0.0691,0.00233,0.0,-0.00572,-0.01386,0.0
0.48739,0.17891,32.90297,33.59477,0.0,0.48864,0.18014,0.0,0.00125,0.00123,0.15383,0.64099,0.0,0.00047,0.00557,0.0
0.48934,0.18198,32.82281,33.06665,0.0,0.49324,0.18812,0.0,0.00195,0.00307,-0.08016,-0.52812,0.0,0.0046,0.00798,0.0
0.49065,0.18639,32.59968,33.28074,0.02075,0.49457,0.19963,0.0,0.00131,0.00441,-0.22313,0.21409,0.02075,0.00133,0.01151,0.0
0.49144,0.18865,32.86101,33.11987,0.0271,0.49464,0.19768,0.0,0.00079,0.00226,0.26133,-0.16087,0.00635,7e-05,-0.00195,0.0
0.49237,0.18884,32.47951,33.02684,0.03333,0.49698,0.18976,0.0,0.00093,0.00019,-0.3815,-0.09303,0.00623,0.00234,-0.00792,0.0
0.49219,0.18766,32.8592,32.94702,0.03979,0.49112,0.18058,0.0,-0.00018,-0.00118,0.37969,-0.07982,0.00646,-0.00586,-0.00918,0.0
0.49199,0.18607,32.97572,33.07407,0.04675,0.49064,0.17497,0.0,-0.0002,-0.00159,0.11652,0.12705,0.00696,-0.00048,-0.00561,0.0
0.49251,0.18614,32.79608,33.48476,0.05322,0.4966,0.18666,0.0,0.00052,7e-05,-0.17964,0.41069,0.00647,0.00596,0.01169,0.0
0.49328,0.18673,32.69718,33.40257,0.06018,0.50022,0.19211,0.0,0.00077,0.00059,-0.0989,-0.08219,0.00696,0.00362,0.00545,0.0
0.49392,0.18757,32.9012,33.23715,0.06665,0.5004,0.19593,0.0,0.00064,0.00084,0.20402,-0.16542,0.00647,0.00018,0.00382,0.0
0.4939,0.18821,32.92865,33.49613,0.07385,0.49364,0.1953,0.0,-2e-05,0.00064,0.02745,0.25898,0.0072,-0.00676,-0.00063,0.0
0.49395,0.18908,32.43034,33.1362,0.08044,0.49453,0.19951,0.0,5e-05,0.00087,-0.49831,-0.35993,0.00659,0.00089,0.00421,0.0
0.494,0.19009,32.97271,33.21015,0.08716,0.49472,0.20312,0.0,5e-05,0.00101,0.54237,0.07395,0.00672,0.00019,0.00361,0.0
0.49378,0.19069,32.83759,33.416,0.09387,0.49056,0.19919,0.0,-0.00022,0.0006,-0.13512,0.20585,0.00671,-0.00416,-0.00393,0.0
