FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.38208,0.02521,15.74964,16.78538,0.01953255,0.37621,0.01596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38189,0.02473,15.84179,16.85129,0.01953255,0.37604,0.01038,0.0,-0.00019,-0.00048,0.09215,0.06591,0.00659,-0.00017,-0.00558,0.0
0.38188,0.02425,15.99145,16.81564,0.01953255,0.38392,0.0067,0.0,-1e-05,-0.00048,0.14966,-0.03565,0.00708,0.00788,-0.00368,0.0
0.38188,0.02373,15.85385,16.84129,0.02075,0.38041,0.00919,0.0,0.0,-0.00052,-0.1376,0.02565,0.00708,-0.00351,0.00249,0.0
0.382,0.02333,16.04618,16.82791,0.02734,0.38041,0.00919,0.0,0.00012,-0.0004,0.19233,-0.01338,0.00659,0.0,0.0,0.0
0.38215,0.02288,15.98874,16.84289,0.03393,0.38135,0.00652,0.0,0.00015,-0.00045,-0.05744,0.01498,0.00659,0.00094,-0.00267,0.0
0.38237,0.02264,15.74489,16.62375,0.04028,0.38585,0.01457,0.0,0.00022,-0.00024,-0.24385,-0.21914,0.00635,0.0045,0.00805,0.0
0.38259,0.02237,15.54576,16.71089,0.04711,0.38585,0.01457,0.0,0.00022,-0.00027,-0.19913,0.08714,0.00683,0.0,0.0,0.0
0.38259,0.02205,15.81761,16.92979,0.05395,0.37972,0.0063,0.0,0.0,-0.00032,0.27185,0.2189,0.00684,-0.00613,-0.00827,0.0
0.38249,0.02129,15.9559,16.54438,0.06054,0.37651,-0.0018456,0.0,-1e-04,-0.00076,0.13829,-0.38541,0.00659,-0.00321,-0.00985,0.0
0.3824,0.02066,15.99475,16.98709,0.06811,0.37636,-0.00056,0.0,-9e-05,-0.00063,0.03885,0.44271,0.00757,-0.00015,0.00299,0.0
0.38234,0.02016,15.88339,16.88843,0.07397,0.38421,0.00392,0.0,-6e-05,-0.0005,-0.11136,-0.09866,0.00586,0.00785,0.00448,0.0
0.38229,0.01952,16.11412,16.68929,0.08056,0.38301,-0.00128,0.0,-5e-05,-0.00064,0.23073,-0.19914,0.00659,-0.0012,-0.0052,0.0
0.38225,0.01946,15.88413,16.66233,0.0874,0.38325,0.00933,0.0,-4e-05,-6e-05,-0.22999,-0.02696,0.00684,0.00024,0.01061,0.0
0.382,0.01946,15.93632,16.98391,0.09399,0.37951,0.0464,0.0,-0.00025,0.0,0.05219,0.32158,0.00659,-0.00374,0.03707,0.0
0.38191,0.0198,15.74976,16.74608,0.10083,0.38678,0.03929,0.0,-9e-05,0.00034,-0.18656,-0.23783,0.00684,0.00727,-0.00711,0.0
0.38183,0.02002,15.84096,16.9777,0.10742,0.38696,0.03634,0.0,-8e-05,0.00022,0.0912,0.23162,0.00659,0.00018,-0.00295,0.0
0.3816,0.02002,16.10126,16.54,0.11401,0.37575,0.02425,0.0,-0.00023,0.0,0.2603,-0.4377,0.00659,-0.01121,-0.01209,0.0
0.3816,0.01928,15.82654,17.00418,0.12084,0.38346,0.00514,0.0,0.0,-0.00074,-0.27472,0.46418,0.00683,0.00771,-0.01911,0.0
0.38161,0.01829,15.93598,17.00332,0.12744,0.38301,-0.0018456,0.0,1e-05,-0.00099,0.10944,-0.00086,0.0066,-0.00045,-0.00754,0.0
0.38178,0.01704,16.06384,16.69326,0.13427,0.39114,-0.0018456,0.0,0.00017,-0.00125,0.12786,-0.31006,0.00683,0.00813,-0.00032,0.0
0.38184,0.01629,16.04698,16.88156,0.14062,0.37896,0.00873,0.0,6e-05,-0.00075,-0.01686,0.1883,0.00635,-0.01218,0.01145,0.0
0.3819,0.01565,15.86119,16.66233,0.14721,0.37897,0.0091,0.0,6e-05,-0.00064,-0.18579,-0.21923,0.00659,1e-05,0.00037,0.0
0.38191,0.01557,15.89376,16.84728,0.15429,0.37702,0.02786,0.0,1e-05,-8e-05,0.03257,0.18495,0.00708,-0.00195,0.01876,0.0
0.38202,0.01529,15.83959,16.70112,0.16088,0.38273,0.01763,0.0,0.00011,-0.00028,-0.05417,-0.14616,0.00659,0.00571,-0.01023,0.0
