FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.37224,0.04379,32.16815,30.22562,0.01929,0.39183,0.05596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37251,0.04343,32.41776,30.08432,0.01929,0.37679,0.03769,0.0,0.00027,-0.00036,0.24961,-0.1413,0.00659,-0.01504,-0.01827,0.0
0.37308,0.04169,32.37933,30.05684,0.01929,0.38275,0.0121,0.0,0.00057,-0.00174,-0.03843,-0.02748,0.00708,0.00596,-0.02559,0.0
0.37348,0.03913,32.556,30.01559,0.0205,0.38079,-0.00684,0.0,0.0004,-0.00256,0.17667,-0.04125,0.00683,-0.00196,-0.01894,0.0
0.37421,0.03665,31.18565,30.09743,0.02685,0.38796,-0.0106,0.0,0.00073,-0.00248,-1.37035,0.08184,0.00635,0.00717,-0.00376,0.0
0.37446,0.03441,31.89684,29.95652,0.03393,0.3795,-0.01028,0.0,0.00025,-0.00224,0.71119,-0.14091,0.00708,-0.00846,0.00032,0.0
0.37469,0.03238,31.46923,29.76113,0.04052,0.3795,-0.01028,0.0,0.00023,-0.00203,-0.42761,-0.19539,0.00659,0.0,0.0,0.0
0.37511,0.03105,31.93325,29.9898,0.04736,0.38428,0.00182,0.0,0.00042,-0.00133,0.46402,0.22867,0.00684,0.00478,0.0121,0.0
0.37513,0.0297,32.73306,30.03947,0.05371,0.37558,-0.00134,0.0,2e-05,-0.00135,0.79981,0.04967,0.00635,-0.0087,-0.00316,0.0
0.37514,0.02846,32.29008,30.15352,0.0603,0.37558,-0.00134,0.0,1e-05,-0.00124,-0.44298,0.11405,0.00659,0.0,0.0,0.0
0.37538,0.02707,32.06296,30.14642,0.06713,0.38122,-0.00774,0.0,0.00024,-0.00139,-0.22712,-0.0071,0.00683,0.00564,-0.0064,0.0
0.37582,0.0253,32.17222,30.17422,0.07495,0.38728,-0.0208,0.0,0.00044,-0.00177,0.10926,0.0278,0.00782,0.00606,-0.01306,0.0
0.3816,0.021796666,32.10022,30.20751,0.07495,0.38792,-0.01354,0.0,0.00578,-0.0035033333,-0.072,0.03329,0.0,0.00064,0.00726,0.0
0.38512,0.018293334,32.73864,30.08635,0.07495,0.39073,0.02609,0.0,0.00352,-0.0035033333,0.63842,-0.12116,0.0,0.00281,0.03963,0.0
0.38512,0.01694,31.59041,30.05157,0.07495,0.38305,0.02086,0.0,0.0,-0.0013533334,-1.14823,-0.03478,0.0,-0.00768,-0.00523,0.0
0.38469,0.01694,31.72835,29.75873,0.01929,0.38339,0.02341,0.0,-0.00043,0.0,0.13794,-0.29284,-0.05615,0.00034,0.00255,0.0
