FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.23563,-0.09141,26.45773,24.74186,0.01701095,0.22548,-0.08351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23507,-0.09186,26.5017,24.68484,0.01701095,0.22637,-0.11048575,0.0,-0.00056,-0.00045,0.04397,-0.05702,0.00611,0.00089,-0.03515,0.0
0.23446,-0.09246,26.2507,24.83383,0.01701095,0.22512,-0.11048575,0.0,-0.00061,-0.0006,-0.251,0.14899,0.00695,-0.00125,-0.00379,0.0
0.22584,-0.09324675,25.844,25.12912,0.01701095,0.22178,-0.11048575,0.0,-0.00862,-0.02226,-0.4067,0.29529,0.0,-0.00334,-0.00114,0.0
0.22584,-0.09324675,26.48741,24.58096,0.01701095,0.22778,-0.11048575,0.0,0.0,0.0,0.64341,-0.54816,0.0,0.006,0.01185,0.0
0.22818,-0.09324675,26.09594,25.1423,0.01701095,0.23284,-0.0928,0.0,0.00234,0.00731,-0.39147,0.56134,0.0,0.00506,0.01894,0.0
0.22956,-0.09324675,26.5665,24.79197,0.02026,0.2337,-0.08198,0.0,0.00138,0.00636,0.47056,-0.35033,0.0072,0.00086,0.01082,0.0
0.23019,-0.09122,26.81586,24.23458,0.02698,0.23269,-0.0519,0.0,0.00063,0.00983,0.24936,-0.55739,0.00672,-0.00101,0.03008,0.0
0.23046,-0.08599,25.9432,24.09756,0.03406,0.23185,-0.05558,0.0,0.00027,0.00523,-0.87266,-0.13702,0.00708,-0.00084,-0.00368,0.0
0.23046,-0.08599,26.11823,24.54504,0.04004,0.23209,-0.09021,0.0,0.0,0.0,0.17503,0.44748,0.00598,0.00024,-0.03463,0.0
0.22847,-0.08888,26.88046,24.98149,0.047,0.21286,-0.10914,0.0,-0.00199,-0.00289,0.76223,0.43645,0.00696,-0.01923,-0.01893,0.0
0.22659,-0.09127,26.48533,24.843,0.05371,0.21158,-0.11048575,0.0,-0.00188,-0.00239,-0.39513,-0.13849,0.00671,-0.00128,-0.00353,0.0
0.22576,-0.09151,26.06766,24.76324,0.06018,0.21831,-0.08898,0.0,-0.00083,-0.00024,-0.41767,-0.07976,0.00647,0.00673,0.02369,0.0
0.22575,-0.09127,24.00001,24.76659,0.06714,0.22351,-0.09386,0.0,-1e-05,0.00024,-1.6731956,0.00335,0.00696,0.0052,-0.00488,0.0
0.22575,-0.09058,25.88033,24.85721,0.07361,0.22786,-0.08041,0.0,0.0,0.00069,1.8447889,0.09062,0.00647,0.00435,0.01345,0.0
0.22622,-0.09049,26.08482,24.53914,0.08057,0.23186,-0.07944,0.0,0.00047,9e-05,0.20449,-0.31807,0.00696,0.004,0.00097,0.0
0.22684,-0.09049,26.59436,24.74718,0.08704,0.23493,-0.10046,0.0,0.00062,0.0,0.50954,0.20804,0.00647,0.00307,-0.02102,0.0
0.22684,-0.0919,26.31212,24.77588,0.09363,0.23163,-0.11048575,0.0,0.0,-0.00141,-0.28224,0.0287,0.00659,-0.0033,-0.01123,0.0
0.22667,-0.09307,26.07215,24.72596,0.10071,0.21926,-0.11048575,0.0,-0.00017,-0.00117,-0.23997,-0.04992,0.00708,-0.01237,0.00113,0.0
0.2265,-0.09324675,24.29098,24.72698,0.10754,0.22357,-0.11048575,0.0,-0.00017,-0.00172,-1.6731956,0.00102,0.00683,0.00431,-0.01175,0.0
0.2265,-0.09324675,26.32911,24.96372,0.11426,0.22672,-0.11041,0.0,0.0,-0.00024,1.8447889,0.23674,0.00672,0.00315,0.0119,0.0
0.22685,-0.09324675,26.25169,24.54302,0.12085,0.23326,-0.08377,0.0,0.00035,0.0,-0.07742,-0.4207,0.00659,0.00654,0.02664,0.0
0.22744,-0.09324675,26.1486,24.52385,0.12756,0.23854,-0.06279,0.0,0.00059,0.00161,-0.10309,-0.01917,0.00671,0.00528,0.02098,0.0
0.22803,-0.09179,25.60542,24.78605,0.13416,0.23978,-0.05921,0.0,0.00059,0.00163,-0.54318,0.2622,0.0066,0.00124,0.00358,0.0
0.22819,-0.09086,25.91028,24.37667,0.14075,0.23943,-0.0712,0.0,0.00016,0.00093,0.30486,-0.40938,0.00659,-0.00035,-0.01199,0.0
0.22819,-0.09082,24.02953,24.81192,0.14734,0.22029,-0.0853,0.0,0.0,4e-05,-1.6731956,0.43525,0.00659,-0.01914,-0.0141,0.0
0.22815,-0.09075,26.58202,24.80982,0.15393,0.21713,-0.09554,0.0,-4e-05,7e-05,1.8447889,-0.0021,0.00659,-0.00316,-0.01024,0.0
0.22815,-0.09075,25.6019,25.04491,0.16089,0.23827,-0.08904,0.0,0.0,0.0,-0.98012,0.23509,0.00696,0.02114,0.0065,0.0
0.22824,-0.09026,26.3169,24.95223,0.16736,0.23062,-0.07795,0.0,9e-05,0.00049,0.715,-0.09268,0.00647,-0.00765,0.01109,0.0
0.22841,-0.08953,26.39136,24.67245,0.17444,0.23268,-0.07067,0.0,0.00017,0.00073,0.07446,-0.27978,0.00708,0.00206,0.00728,0.0
0.22898,-0.08859,26.1774,24.73298,0.18079,0.24447,-0.06332,0.0,0.00057,0.00094,-0.21396,0.06053,0.00635,0.01179,0.00735,0.0
0.22931,-0.08788,25.6139,24.73255,0.1875,0.23841,-0.0679,0.0,0.00033,0.00071,-0.5635,-0.00043,0.00671,-0.00606,-0.00458,0.0
0.22961,-0.08731,26.38948,24.86539,0.19446,0.23841,-0.0679,0.0,0.0003,0.00057,0.77558,0.13284,0.00696,0.0,0.0,0.0
0.22981,-0.08721,26.19225,25.00716,0.20154,0.23577,-0.09015,0.0,0.0002,1e-04,-0.19723,0.14177,0.00708,-0.00264,-0.02225,0.0
0.23045,-0.08654,26.02455,24.68617,0.20776,0.25045,-0.06261,0.0,0.00064,0.00067,-0.1677,-0.32099,0.00622,0.01468,0.02754,0.0
0.23103,-0.08592,26.33555,24.6242,0.21423,0.24966,-0.06633,0.0,0.00058,0.00062,0.311,-0.06197,0.00647,-0.00079,-0.00372,0.0
0.23107,-0.08537,26.07515,24.89932,0.22119,0.23224,-0.06714,0.0,4e-05,0.00055,-0.2604,0.27512,0.00696,-0.01742,-0.00081,0.0
0.23145,-0.08537,25.92254,25.0312,0.22791,0.24438,-0.08278,0.0,0.00038,0.0,-0.15261,0.13188,0.00672,0.01214,-0.01564,0.0
0.23176,-0.08543,26.13019,25.03946,0.23462,0.24242,-0.09001,0.0,0.00031,-6e-05,0.20765,0.00826,0.00671,-0.00196,-0.00723,0.0
0.23178,-0.08543,25.76727,24.56728,0.24133,0.23273,-0.09257,0.0,2e-05,0.0,-0.36292,-0.47218,0.00671,-0.00969,-0.00256,0.0
0.23218,-0.08539,25.88968,24.90738,0.2478,0.24692,-0.07699,0.0,0.0004,4e-05,0.12241,0.3401,0.00647,0.01419,0.01558,0.0
0.23256,-0.08518,26.15753,25.1381,0.25464,0.24692,-0.07699,0.0,0.00038,0.00021,0.26785,0.23072,0.00684,0.0,0.0,0.0
0.23304,-0.08367,26.36852,24.91815,0.2616,0.25169,-0.0247,0.0,0.00048,0.00151,0.21099,-0.21995,0.00696,0.00477,0.05229,0.0
0.23455,-0.08046,26.44378,24.90175,0.26782,0.29525,0.04765,0.0,0.00151,0.00321,0.07526,-0.0164,0.00622,0.04356,0.0669204,0.0
0.25398168,-0.05264,26.59243,25.04729,0.26782,0.29587,0.05089,0.0,0.019431667,0.02782,0.14865,0.14554,0.0,0.00062,0.00324,0.0
0.27341333,0.05118,26.17993,25.19895,0.26782,0.31737,0.155,0.0,0.019431667,0.061174,-0.4125,0.15166,0.0,0.0215,0.0669204,0.0
0.292845,0.10033,24.72864,24.88392,0.26782,0.33596,0.19864,0.0,0.019431667,0.04915,-1.45129,-0.31503,0.0,0.01859,0.04364,0.0
0.31227666,0.18409,25.2735,24.64158,0.26782,0.33595,0.19863,0.0,0.019431667,0.061174,0.54486,-0.24234,0.0,-1e-05,-1e-05,0.0
0.33170834,0.22682,24.74554,25.14264,0.26782,0.36187,0.26955,0.0,0.019431667,0.04273,-0.52796,0.50106,0.0,0.02592,0.0669204,0.0
0.35114,0.24607,25.23143,24.99697,0.26782,0.3618,0.28457,0.0,0.019431667,0.01925,0.48589,-0.14567,0.0,-7e-05,0.01502,0.0
0.35524,0.27956,24.63437,24.74415,0.26782,0.3618,0.28457,0.0,0.0041,0.03349,-0.59706,-0.25282,0.0,0.0,0.0,0.0
0.35912,0.28076,24.39121,24.7409,0.26782,0.34866,0.28196,0.0,0.00388,0.0012,-0.24316,-0.00325,0.0,-0.01314,-0.00261,0.0
0.35912,0.28585,24.85179,24.38099,0.26782,0.36689,0.29601,0.0,0.0,0.00509,0.46058,-0.35991,0.0,0.01823,0.01405,0.0
0.35956,0.28832,24.63845,24.35205,0.0199,0.36765,0.29852,0.0,0.00044,0.00247,-0.21334,-0.02894,-0.24792,0.00076,0.00251,0.0
0.35956,0.28832,24.35793,24.3967,0.0271,0.35277,0.28555,0.0,0.0,0.0,-0.28052,0.04465,0.0072,-0.01488,-0.01297,0.0
0.357,0.28826,23.97674,24.52074,0.03345,0.34423,0.28794,0.0,-0.00256,-6e-05,-0.38119,0.12404,0.00635,-0.00854,0.00239,0.0
0.35523,0.28786,23.91924,24.22757,0.04004,0.34343,0.28547,0.0,-0.00177,-0.0004,-0.0575,-0.29317,0.00659,-0.0008,-0.00247,0.0
