FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.38367,0.0733,31.20835,31.87155,0.0198988,0.37584,0.06818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38362,0.07311,31.03972,31.85406,0.0198988,0.38157,0.06456,0.0,-5e-05,-0.00019,-0.16863,-0.01749,0.00683,0.00573,-0.00362,0.0
0.38357,0.07282,31.34333,31.87633,0.0198988,0.38121,0.05972,0.0,-5e-05,-0.00029,0.30361,0.02227,0.00659,-0.00036,-0.00484,0.0
0.38332,0.07255,31.37201,31.96254,0.02026,0.37206,0.06006,0.0,-0.00025,-0.00027,0.02868,0.08621,0.00684,-0.00915,0.00034,0.0
0.38325,0.07221,31.41087,31.97086,0.02685,0.3799,0.05618,0.0,-7e-05,-0.00034,0.03886,0.00832,0.00659,0.00784,-0.00388,0.0
0.38256,0.07116,31.18711,31.937,0.03418,0.37975,0.05363,0.0,-0.00069,-0.00105,-0.22376,-0.03386,0.00733,-0.00015,-0.00255,0.0
0.38236,0.07005,31.17064,31.99128,0.04028,0.37862,0.04672,0.0,-0.0002,-0.00111,-0.01647,0.05428,0.0061,-0.00113,-0.00691,0.0
0.38212,0.06883,31.11915,31.62151,0.04712,0.37909,0.0379,0.0,-0.00024,-0.00122,-0.05149,-0.36977,0.00684,0.00047,-0.00882,0.0
0.38189,0.06765,31.53132,31.72365,0.05371,0.37908,0.03769,0.0,-0.00023,-0.00118,0.41217,0.10214,0.00659,-1e-05,-0.00021,0.0
0.3815,0.06683,30.98663,31.78615,0.0603,0.37433,0.04777,0.0,-0.00039,-0.00082,-0.54469,0.0625,0.00659,-0.00475,0.01008,0.0
0.38098,0.06588,31.45495,31.723,0.06713,0.37233,0.0554,0.0,-0.00052,-0.00095,0.46832,-0.06315,0.00683,-0.002,0.00763,0.0
0.38046,0.06508,31.47794,31.51106,0.07373,0.37272,0.06024,0.0,-0.00052,-0.0008,0.02299,-0.21194,0.0066,0.00039,0.00484,0.0
0.37993,0.06475,31.55117,31.51898,0.08007,0.36806,0.06609,0.0,-0.00053,-0.00033,0.07323,0.00792,0.00634,-0.00466,0.00585,0.0
0.37945,0.06455,31.54636,31.74678,0.08691,0.36667,0.06653,0.0,-0.00048,-0.0002,-0.00481,0.2278,0.00684,-0.00139,0.00044,0.0
0.37897,0.06439,31.55292,31.72278,0.09375,0.36667,0.06653,0.0,-0.00048,-0.00016,0.00656,-0.024,0.00684,0.0,0.0,0.0
0.37826,0.06403,31.33221,31.81502,0.10058,0.3606,0.06195,0.0,-0.00071,-0.00036,-0.22071,0.09224,0.00683,-0.00607,-0.00458,0.0
0.37746,0.06322,31.25045,31.9911,0.10693,0.36226,0.06031,0.0,-0.0008,-0.00081,-0.08176,0.17608,0.00635,0.00166,-0.00164,0.0
0.37664,0.06216,30.9294,31.76331,0.11377,0.36183,0.05547,0.0,-0.00082,-0.00106,-0.32105,-0.22779,0.00684,-0.00043,-0.00484,0.0
0.37617,0.06119,31.72715,31.4735,0.12036,0.3688,0.05069,0.0,-0.00047,-0.00097,0.79775,-0.28981,0.00659,0.00697,-0.00478,0.0
0.37578,0.0602,31.69156,31.78569,0.12695,0.36994,0.04929,0.0,-0.00039,-0.00099,-0.03559,0.31219,0.00659,0.00114,-0.0014,0.0
0.37539,0.05932,31.69786,31.86068,0.13354,0.36994,0.04929,0.0,-0.00039,-0.00088,0.0063,0.07499,0.00659,0.0,0.0,0.0
0.37477,0.05932,31.69939,31.77796,0.14038,0.36362,0.05865,0.0,-0.00062,0.0,0.00153,-0.08272,0.00684,-0.00632,0.00936,0.0
