FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.39909,0.04636,19.03183,19.3796,0.01978,0.40371,0.04953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39909,0.04587,19.28285,19.94181,0.01978,0.39626,0.06269,0.0,0.0,-0.00049,0.25102,0.56221,0.00635,-0.00745,0.01316,0.0
0.39864,0.04587,18.32477,18.96334,0.01978,0.38597,0.07008,0.0,-0.00045,0.0,-0.95808,-0.97847,0.00634,-0.01029,0.00739,0.0
0.39812,0.04587,19.24509,19.44327,0.02002,0.38558,0.06646,0.0,-0.00052,0.0,0.92032,0.47993,0.00733,-0.00039,-0.00362,0.0
0.39772,0.04598,19.16534,19.75617,0.02636,0.37367,0.06164,0.0,-0.0004,0.00011,-0.07975,0.3129,0.00634,-0.01191,-0.00482,0.0
0.39772,0.04614,18.55418,19.05784,0.03369,0.3953,0.05197,0.0,0.0,0.00016,-0.61116,-0.69833,0.00733,0.02163,-0.00967,0.0
0.39772,0.04624,19.24774,19.39398,0.04028,0.39447,0.03784,0.0,0.0,1e-04,0.69356,0.33614,0.00659,-0.00083,-0.01413,0.0
0.39753,0.04624,19.21691,19.7627,0.04638,0.3808,0.03257,0.0,-0.00019,0.0,-0.03083,0.36872,0.0061,-0.01367,-0.00527,0.0
0.39691,0.04568,18.30447,19.09701,0.05371,0.38658,0.01501,0.0,-0.00062,-0.00056,-0.91244,-0.66569,0.00733,0.00578,-0.01756,0.0
0.3963,0.04564,19.28954,19.16806,0.0603,0.38705,0.02232,0.0,-0.00061,-4e-05,0.98507,0.07105,0.00659,0.00047,0.00731,0.0
0.39604,0.04554,18.8728,19.58263,0.06665,0.3787,0.04855,0.0,-0.00026,-1e-04,-0.41674,0.41457,0.00635,-0.00835,0.02623,0.0
0.39604,0.04554,18.34899,18.91327,0.07324,0.39938,0.01946,0.0,0.0,0.0,-0.52381,-0.66936,0.00659,0.02068,-0.02909,0.0
0.39622,0.04554,19.21203,19.34601,0.08032,0.39977,0.02318,0.0,0.00018,0.0,0.86304,0.43274,0.00708,0.00039,0.00372,0.0
