FPOGX,FPOGY,LPD,RPD,FPOGD,BPOGX,BPOGY,BKDUR,delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD,delta_FPOGD,delta_BPOGX,delta_BPOGY,delta_BKDUR
0.34637,0.17667,30.48328,31.2058,0.01971,0.33864,0.20037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34625,0.17825,30.55836,31.10937,0.01971,0.34018,0.19802,0.0,-0.00012,0.00158,0.07508,-0.09643,0.00653,0.00154,-0.00235,0.0
0.34611,0.17996,30.43386,31.1073,0.01971,0.33819,0.20147,0.0,-0.00014,0.00171,-0.1245,-0.00207,0.00683,-0.00199,0.00345,0.0
0.34595,0.18154,30.38966,31.3956,0.01996,0.33819,0.20147,0.0,-0.00016,0.00158,-0.0442,0.2883,0.0066,0.0,0.0,0.0
0.34572,0.18295,30.29557,31.02504,0.02661,0.33499,0.20413,0.0,-0.00023,0.00141,-0.09409,-0.37056,0.00665,-0.0032,0.00266,0.0
0.34539,0.18427,30.32114,31.27826,0.03381,0.33596,0.20751,0.0,-0.00033,0.00132,0.02557,0.25322,0.0072,0.00097,0.00338,0.0
0.345,0.18528,30.4219,31.30253,0.04052,0.33497,0.20128,0.0,-0.00039,0.00101,0.10076,0.02427,0.00671,-0.00099,-0.00623,0.0
0.34464,0.18607,30.59677,31.07059,0.04693,0.34001,0.19254,0.0,-0.00036,0.00079,0.17487,-0.23194,0.00641,0.00504,-0.00874,0.0
0.34422,0.18677,30.60987,31.33315,0.05371,0.33602,0.18662,0.0,-0.00042,0.0007,0.0131,0.26256,0.00678,-0.00399,-0.00592,0.0
0.34378,0.18743,30.60987,31.39789,0.0603,0.33534,0.18493,0.0,-0.00044,0.00066,0.0,0.06474,0.00659,-0.00068,-0.00169,0.0
0.3435,0.18783,31.06174,30.93108,0.06689,0.34278,0.18713,0.0,-0.00028,0.0004,0.45187,-0.46681,0.00659,0.00744,0.0022,0.0
0.34321,0.18846,31.17204,31.05774,0.07373,0.34284,0.19633,0.0,-0.00029,0.00063,0.1103,0.12666,0.00684,6e-05,0.0092,0.0
0.34294,0.18911,31.16345,31.05594,0.08056,0.34351,0.19804,0.0,-0.00027,0.00065,-0.00859,-0.0018,0.00683,0.00067,0.00171,0.0
0.34281,0.18968,31.16062,31.05409,0.08709,0.34874,0.19106,0.0,-0.00013,0.00057,-0.00283,-0.00185,0.00653,0.00523,-0.00698,0.0
0.34263,0.19006,31.15652,30.94899,0.09381,0.34714,0.18506,0.0,-0.00018,0.00038,-0.0041,-0.1051,0.00672,-0.0016,-0.006,0.0
0.34242,0.19017,31.20201,30.97521,0.10046,0.34557,0.17714,0.0,-0.00021,0.00011,0.04549,0.02622,0.00665,-0.00157,-0.00792,0.0
0.34219,0.19017,31.1667,31.09096,0.10705,0.34561,0.17181,0.0,-0.00023,0.0,-0.03531,0.11575,0.00659,4e-05,-0.00533,0.0
