MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/06/25 11:58:50.093),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
5,04_stanford,0,0.00000,17296038395620,0.57255,0.45346,0.00000,0.00001,1,1,0.58031,0.44373,1,0.38802,0.10648,0, ,0,,0.40955,0.45845,22.23585,1.23995,1,0.68902,0.45567,24.61054,1.23995,1,0,0.00000,8,4.30625,1,4.78593,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,1,0.00701,17296038465691,0.57263,0.45335,0.00000,0.00701,1,1,0.57636,0.44864,1,0.38802,0.10648,0, ,0,,0.40970,0.45847,22.10115,1.23280,1,0.68914,0.45587,24.94401,1.23280,1,0,0.00000,8,4.25853,1,4.75700,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,2,0.01411,17296038536715,0.57270,0.45332,0.00000,0.01412,1,1,0.57636,0.44864,1,0.38802,0.10648,0, ,0,,0.40984,0.45868,22.14259,1.23280,1,0.68933,0.45594,24.78798,1.23280,1,0,0.00000,8,4.35416,1,4.73398,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,3,0.02064,17296038602033,0.57281,0.45293,0.00000,0.02065,1,1,0.57081,0.44192,1,0.38802,0.10648,0, ,0,,0.41004,0.45908,22.86723,1.23995,1,0.68946,0.45623,24.74970,1.23995,1,0,0.00000,8,4.24970,1,4.71566,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,4,0.02710,17296038666601,0.57290,0.45274,0.00000,0.02710,1,1,0.56488,0.43413,1,0.38802,0.10648,0, ,0,,0.41007,0.45906,22.88425,1.24710,1,0.68955,0.45632,24.49052,1.24710,1,0,0.00000,8,4.26016,1,4.76415,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,5,0.03380,17296038733644,0.57298,0.45263,0.00000,0.03381,1,1,0.56465,0.43610,1,0.38802,0.10648,0, ,0,,0.41020,0.45909,22.66128,1.24710,1,0.68953,0.45663,24.81871,1.24031,1,0,0.00000,8,4.26158,1,4.75616,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,6,0.04079,17296038803514,0.57305,0.45221,0.00000,0.04080,1,1,0.57529,0.44102,1,0.38802,0.10648,3, ,0,,0.41031,0.45916,22.56601,1.23316,1,0.68973,0.45693,24.69599,1.22637,1,0,0.00000,8,4.25802,1,4.76483,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,7,0.04765,17296038872141,0.57309,0.45215,0.00000,0.04766,1,1,0.57924,0.45479,1,0.38802,0.10648,0, ,0,,0.41034,0.45912,22.53460,1.21922,1,0.68972,0.45698,24.86737,1.21242,1,0,0.00000,8,4.27044,1,4.75369,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,8,0.05427,17296038938259,0.57312,0.45221,0.00000,0.05427,1,1,0.57886,0.45886,1,0.38802,0.10648,0, ,0,,0.41044,0.45920,22.55985,1.21242,1,0.68975,0.45707,24.88053,1.20563,1,0,0.00000,8,4.31962,1,4.76099,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,9,0.06115,17296039007121,0.57300,0.45304,0.00000,0.06116,1,1,0.57638,0.47306,1,0.38802,0.10648,0, ,0,,0.41072,0.45922,22.46039,1.21278,1,0.68984,0.45734,25.01098,1.21278,1,0,0.00000,8,4.30318,1,4.73032,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,10,0.06760,17296039071632,0.57312,0.45349,0.00000,0.06761,1,1,0.58212,0.47879,1,0.38802,0.10648,0, ,0,,0.41077,0.45929,22.70702,1.21993,1,0.68990,0.45745,24.80345,1.21993,1,0,0.00000,8,4.29156,1,4.79219,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,11,0.07421,17296039137755,0.57324,0.45381,0.00000,0.07422,1,1,0.58240,0.47696,1,0.38802,0.10648,0, ,0,,0.41082,0.45914,22.37418,1.21993,1,0.68994,0.45749,24.66744,1.22672,1,0,0.00000,8,4.36005,1,4.77967,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,12,0.08059,17296039201529,0.57328,0.45347,0.00000,0.08060,1,1,0.56894,0.44124,1,0.38802,0.10648,0, ,0,,0.41096,0.45909,22.42916,1.21957,1,0.69013,0.45771,24.71708,1.22637,1,0,0.00000,8,4.31404,1,4.76171,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
5,04_stanford,13,0.08754,17296039270997,0.57325,0.45338,0.00000,0.08754,1,1,0.57183,0.45156,1,0.38802,0.10648,0, ,0,,0.41097,0.45915,22.35876,1.21922,1,0.69014,0.45780,24.75263,1.22601,1,0,0.00000,8,4.27817,1,4.74659,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
